Unnamed: 0,IND,PIT
First Downs,23,22
Rush-Yds-TDs,21-72-0,33-182-2
Cmp-Att-Yd-TD-INT,32-48-304-1-3,15-23-188-2-1
Sacked-Yards,2-9,1-6
Net Pass Yards,295,182
Total Yards,367,364
Fumbles-Lost,0-0,1-0
Turnovers,3,1
Penalties-Yards,7-55,4-38
Third Down Conv.,8-16,3-7
Fourth Down Conv.,2-2,0-1
Time of Possession,30:53,29:07
