Quarter,Time,Tm,Detail,NYG,PHI
1.0,11:44,Giants,Plaxico Burress 17 yard pass from Eli Manning (Jay Feely kick),7,0
2.0,14:11,Eagles,Brian Westbrook 49 yard rush (David Akers kick),7,7
,9:34,Eagles,David Akers 19 yard field goal,7,10
,4:45,Giants,Jay Feely 20 yard field goal,10,10
,1:01,Eagles,Donte' Stallworth 28 yard pass from Jeff Garcia (David Akers kick),10,17
3.0,2:37,Eagles,David Akers 48 yard field goal,10,20
4.0,14:50,Giants,Jay Feely 24 yard field goal,13,20
,5:04,Giants,Plaxico Burress 11 yard pass from Eli Manning (Jay Feely kick),20,20
,0:00,Eagles,David Akers 38 yard field goal,20,23
