Unnamed: 0,NYG,PHI
First Downs,17,19
Rush-Yds-TDs,31-151-0,31-185-1
Cmp-Att-Yd-TD-INT,16-27-161-2-1,17-31-153-1-0
Sacked-Yards,1-7,2-15
Net Pass Yards,154,138
Total Yards,305,323
Fumbles-Lost,2-0,1-0
Turnovers,1,0
Penalties-Yards,9-55,6-77
Third Down Conv.,6-15,4-13
Fourth Down Conv.,0-0,0-0
Time of Possession,29:36,30:24
