Quarter,Time,Tm,Detail,ARI,GNB
2.0,11:29,Packers,Davante Adams 13 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
,4:42,Cardinals,Chase Edmonds 6 yard rush (Zane Gonzalez kick),7,7
,0:15,Packers,Mason Crosby 32 yard field goal,7,10
3.0,5:18,Cardinals,Zane Gonzalez 44 yard field goal,10,10
,1:54,Cardinals,Chase Edmonds 8 yard rush (Zane Gonzalez kick),17,10
4.0,5:26,Packers,Aaron Jones 8 yard rush (Mason Crosby kick),17,17
,1:41,Cardinals,Zane Gonzalez 44 yard field goal,20,17
