Unnamed: 0,ARI,GNB
First Downs,18,22
Rush-Yds-TDs,29-182-2,23-98-1
Cmp-Att-Yd-TD-INT,11-26-149-0-0,31-50-233-1-0
Sacked-Yards,2-16,1-6
Net Pass Yards,133,227
Total Yards,315,325
Fumbles-Lost,3-0,0-0
Turnovers,0,0
Penalties-Yards,7-49,7-43
Third Down Conv.,5-13,3-14
Fourth Down Conv.,0-0,2-2
Time of Possession,27:34,32:26
