Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
David Johnson,ARI,20,69,0,3,22,1.1,47,2.4,2,10.0
Chase Edmonds,ARI,5,53,2,3,30,6.0,23,4.6,1,5.0
Josh Rosen,ARI,2,32,0,1,-8,-4.0,40,20.0,0,
Christian Kirk,ARI,1,23,0,1,23,23.0,0,0.0,0,
T.J. Logan,ARI,1,5,0,,3,3.0,2,2.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Aaron Jones,GNB,11,36,1,2,9,0.8,27,2.5,2,5.5
Jamaal Williams,GNB,7,13,0,0,5,0.7,8,1.1,0,
Aaron Rodgers,GNB,3,20,0,2,20,6.7,0,0.0,0,
Marquez Valdes-Scantling,GNB,2,29,0,2,29,14.5,0,0.0,0,
