Unnamed: 0,SFO,SEA
First Downs,23,14
Rush-Yds-TDs,33-169-3,21-88-0
Cmp-Att-Yd-TD-INT,21-31-209-1-1,18-27-180-0-1
Sacked-Yards,1-1,6-48
Net Pass Yards,208,132
Total Yards,377,220
Fumbles-Lost,1-0,1-1
Turnovers,1,2
Penalties-Yards,3-20,5-39
Third Down Conv.,5-11,3-11
Fourth Down Conv.,0-0,0-1
Time of Possession,35:30,24:30
