Unnamed: 0,TEN,NYG
First Downs,17,26
Rush-Yds-TDs,41-161-2,20-107-1
Cmp-Att-Yd-TD-INT,10-16-118-1-0,34-48-386-0-2
Sacked-Yards,1-8,2-22
Net Pass Yards,110,364
Total Yards,271,471
Fumbles-Lost,0-0,1-1
Turnovers,0,3
Penalties-Yards,8-80,11-86
Third Down Conv.,6-13,6-12
Fourth Down Conv.,0-0,0-2
Time of Possession,28:22,31:38
