Quarter,Time,Down,ToGo,Location,DAL,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,OAK 30,0,0,"Sebastian Janikowski kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,DAL 20,0,0,Julius Jones right guard for 2 yards (tackle by Tommy Kelly),0.280,0.000
1,14:21,2,8,DAL 22,0,0,Drew Bledsoe up the middle for 7 yards (tackle by Danny Clark),0.000,0.230
1,13:35,3,1,DAL 29,0,0,Julius Jones up the middle for 4 yards (tackle by Nnamdi Asomugha),0.230,1.140
1,12:55,1,10,DAL 33,0,0,Drew Bledsoe pass incomplete intended for Terry Glenn,1.140,0.590
1,12:49,2,10,DAL 33,0,0,Julius Jones left tackle for 5 yards (tackle by Nnamdi Asomugha and Bobby Hamilton),0.590,0.560
1,12:07,3,5,DAL 38,0,0,"Penalty on DeLawrence Grant: Neutral Zone Infraction, 5 yards (no play)",0.560,1.800
1,11:52,1,10,DAL 43,0,0,Julius Jones left guard for 4 yards (tackle by Kirk Morrison and Ted Washington),1.800,1.790
1,11:14,2,6,DAL 47,0,0,Julius Jones left tackle for 1 yard (tackle by Bobby Hamilton and Derrick Gibson),1.790,1.220
1,10:30,3,5,DAL 48,0,0,Drew Bledsoe pass incomplete intended for Keyshawn Johnson (defended by Fabian Washington),1.220,-0.190
1,10:24,4,5,DAL 48,0,0,"Mat McBriar punts 44 yards, returned by Chris Carr for 1 yard (tackle by Jacques Reeves)",-0.190,0.380
1,10:16,1,10,OAK 9,0,0,LaMont Jordan up the middle for 5 yards (tackle by Bradie James and Kenyon Coleman),-0.380,-0.390
1,9:42,2,5,OAK 14,0,0,Kerry Collins pass complete to Randy Moss for 79 yards (tackle by Terence Newman),-0.390,5.600
1,8:51,1,7,DAL 7,0,0,LaMont Jordan up the middle for 2 yards (tackle by La'Roi Glover),5.600,5.150
1,8:11,2,5,DAL 5,0,0,LaMont Jordan up the middle for 1 yard (tackle by La'Roi Glover and Bradie James),5.150,4.490
1,7:31,3,4,DAL 4,0,0,Kerry Collins sacked by DeMarcus Ware for -8 yards,4.490,2.630
1,7:26,4,12,DAL 12,0,3,Sebastian Janikowski 30 yard field goal good,2.630,3.000
1,,,,OAK 30,0,3,"Sebastian Janikowski kicks off 73 yards, returned by Tyson Thompson for 22 yards (tackle by Tim Johnson)",0.000,0.150
1,7:17,1,10,DAL 19,0,3,Julius Jones left tackle for 1 yard (tackle by Tommy Kelly),0.150,-0.200
1,6:40,2,9,DAL 20,0,3,Drew Bledsoe sacked by Derrick Burgess for -1 yards,-0.200,-1.070
1,6:05,3,10,DAL 19,0,3,Drew Bledsoe pass incomplete intended for Patrick Crayton,-1.070,-2.140
1,5:58,4,10,DAL 19,0,3,"Mat McBriar punts 39 yards, returned by Chris Carr for 22 yards (tackle by Alshermond Singleton)",-2.140,-3.180
1,5:45,1,10,DAL 36,0,3,Kerry Collins pass incomplete intended for Jerry Porter,3.180,2.640
1,5:37,2,10,DAL 36,0,3,Kerry Collins pass complete to Courtney Anderson for 16 yards (tackle by Scott Shanle and Dat Nguyen),2.640,4.240
1,5:01,1,10,DAL 20,0,3,LaMont Jordan up the middle for 8 yards (tackle by Chris Canty and Roy Williams),4.240,5.040
1,4:22,2,2,DAL 12,0,3,Kerry Collins pass complete to LaMont Jordan for 8 yards,5.040,6.280
1,3:54,1,4,DAL 4,0,3,LaMont Jordan right guard for 2 yards (tackle by Roy Williams),6.280,5.720
1,3:10,2,2,DAL 2,0,9,"LaMont Jordan up the middle for 2 yards, touchdown",5.720,7.000
1,,,,DAL 2,0,10,Sebastian Janikowski kicks extra point good,0.000,0.000
1,,,,OAK 30,0,10,"Sebastian Janikowski kicks off 75 yards, touchback",0.000,0.280
1,3:07,1,10,DAL 20,0,10,Drew Bledsoe pass incomplete intended for Keyshawn Johnson,0.280,-0.270
1,2:57,2,10,DAL 20,0,10,Julius Jones left guard for 2 yards (tackle by Danny Clark and Kirk Morrison),-0.270,-0.690
1,2:15,3,8,DAL 22,0,10,Drew Bledsoe pass complete to Jason Witten for 5 yards (tackle by Derrick Gibson),-0.690,-1.570
1,1:41,4,3,DAL 27,0,10,"Mat McBriar punts 56 yards, returned by Chris Carr for 3 yards (tackle by Jacques Reeves). Penalty on Fabian Washington: Illegal Block Above the (Declined), Penalty on Tyler Brayton: Offensive Holding, 10 yards",-1.570,0.380
1,1:26,1,10,OAK 10,0,10,LaMont Jordan right end for 2 yards (tackle by Keith Davis and Alshermond Singleton),-0.380,-0.630
1,0:51,2,8,OAK 12,0,10,LaMont Jordan up the middle for 24 yards (tackle by Anthony Henry),-0.630,1.330
1,0:07,1,10,OAK 36,0,10,Kerry Collins pass incomplete,1.330,0.790
Quarter,Time,Down,ToGo,Location,DAL,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,OAK 36,0,10,Kerry Collins pass incomplete intended for Randy Moss,0.790,0.100
2,14:54,3,10,OAK 36,0,10,Kerry Collins pass complete to Randy Moss for 20 yards (tackle by Roy Williams),0.100,2.650
2,14:05,1,10,DAL 44,0,10,"Penalty on Kerry Collins: Delay of Game, 5 yards (no play)",2.650,2.320
2,13:51,1,15,DAL 49,0,10,"LaMont Jordan left end for 6 yards (tackle by Keith Davis). Penalty on DeMarcus Ware: Defensive Offside, 5 yards (no play)",2.320,2.650
2,13:35,1,10,DAL 44,0,10,Justin Fargas left guard for 2 yards (tackle by Jason Ferguson and Chris Canty),2.650,2.380
2,12:59,2,8,DAL 42,0,10,Kerry Collins pass incomplete intended for Jerry Porter,2.380,1.690
2,12:54,,,,0,10,Timeout #1 by Oakland Raiders,0.000,1.690
2,12:54,3,8,DAL 42,0,10,Kerry Collins sacked by Jay Ratliff and Scott Shanle for -1 yards,1.690,0.400
2,12:40,4,9,DAL 43,0,10,"Shane Lechler punts 43 yards, touchback",0.400,-0.280
2,12:31,1,10,DAL 20,0,10,Julius Jones up the middle for 6 yards (tackle by Stuart Schweigert),0.280,0.540
2,11:55,2,4,DAL 26,0,10,Drew Bledsoe pass complete to Julius Jones for 12 yards (tackle by Derrick Burgess),0.540,1.470
2,11:13,1,10,DAL 38,0,10,Drew Bledsoe pass complete to Keyshawn Johnson for 16 yards (tackle by Nnamdi Asomugha),1.470,2.520
2,10:34,1,10,OAK 46,0,10,Tyson Thompson left tackle for 7 yards (tackle by Stuart Schweigert),2.520,2.920
2,9:54,2,3,OAK 39,0,10,Tyson Thompson right tackle for 7 yards (tackle by Charles Woodson),2.920,3.450
2,9:15,1,10,OAK 32,0,10,Drew Bledsoe pass complete to Tyson Thompson for 8 yards (tackle by Danny Clark and Kirk Morrison),3.450,3.980
2,8:30,2,2,OAK 24,0,10,Tyson Thompson left guard for 4 yards (tackle by Warren Sapp),3.980,4.240
2,7:53,1,10,OAK 20,0,10,Tyson Thompson up the middle for 6 yards (tackle by Bobby Hamilton),4.240,4.640
