Quarter,Time,Tm,Detail,DAL,OAK
1.0,7:22,Raiders,Sebastian Janikowski 30 yard field goal,0,3
,3:07,Raiders,LaMont Jordan 2 yard rush (Sebastian Janikowski kick),0,10
2.0,5:59,Cowboys,Jose Cortez 29 yard field goal,3,10
3.0,8:15,Raiders,Sebastian Janikowski 23 yard field goal,3,13
,1:05,Cowboys,Jose Cortez 30 yard field goal,6,13
4.0,10:25,Raiders,Sebastian Janikowski 49 yard field goal,6,16
,8:51,Cowboys,Patrick Crayton 63 yard pass from Drew Bledsoe (Jose Cortez kick),13,16
,4:29,Raiders,Sebastian Janikowski 43 yard field goal,13,19
