Unnamed: 0,DAL,OAK
First Downs,16,16
Rush-Yds-TDs,32-116-0,30-129-1
Cmp-Att-Yd-TD-INT,11-27-212-1-1,13-23-218-0-0
Sacked-Yards,4-25,3-14
Net Pass Yards,187,204
Total Yards,303,333
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,6-35,13-85
Third Down Conv.,6-15,2-10
Fourth Down Conv.,0-1,0-0
Time of Possession,30:46,29:14
