Quarter,Time,Tm,Detail,CLE,TEN
1.0,11:58,Browns,Phil Dawson 47 yard field goal,3,0
,4:00,Browns,Phil Dawson 41 yard field goal,6,0
2.0,14:10,Titans,Ahmard Hall 28 yard pass from Kerry Collins (Rob Bironas kick),6,7
,1:11,Titans,LenDale White 3 yard rush (Rob Bironas kick),6,14
3.0,11:46,Titans,Justin Gage 9 yard pass from Kerry Collins (Rob Bironas kick),6,21
4.0,13:30,Browns,Phil Dawson 39 yard field goal,9,21
,8:22,Titans,Chris Johnson 25 yard rush (Rob Bironas kick),9,28
