Unnamed: 0,CLE,TEN
First Downs,12,21
Rush-Yds-TDs,19-35-0,43-235-2
Cmp-Att-Yd-TD-INT,22-44-150-0-1,14-23-155-2-2
Sacked-Yards,1-7,0-0
Net Pass Yards,143,155
Total Yards,178,390
Fumbles-Lost,2-0,1-1
Turnovers,1,3
Penalties-Yards,8-68,13-131
Third Down Conv.,4-16,7-13
Fourth Down Conv.,1-1,1-2
Time of Possession,26:14,33:46
