Quarter,Time,Tm,Detail,CLE,MIA
1.0,12:13,Browns,Harrison Bryant 1 yard pass from Jacoby Brissett (Cade York kick),7,0
,6:13,Dolphins,Alec Ingold 13 yard pass from Tua Tagovailoa (Jason Sanders kick),7,7
2.0,11:05,Dolphins,Jason Sanders 39 yard field goal,7,10
,0:32,Dolphins,Trent Sherfield 14 yard pass from Tua Tagovailoa (Jason Sanders kick),7,17
3.0,11:35,Dolphins,Raheem Mostert 24 yard rush (Jason Sanders kick),7,24
,6:56,Browns,Cade York 37 yard field goal,10,24
,0:37,Dolphins,Tyreek Hill 2 yard pass from Tua Tagovailoa (Jason Sanders kick failed),10,30
4.0,13:09,Browns,Nick Chubb 33 yard rush (Cade York kick),17,30
,8:15,Dolphins,Jason Sanders 33 yard field goal,17,33
,7:07,Dolphins,Jeff Wilson 20 yard rush (Jason Sanders kick failed),17,39
