Quarter,Time,Down,ToGo,Location,CLE,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Jason Sanders kicks off 66 yards, returned by Jerome Ford for 48 yards (tackle by Keion Crossen)",0.000,2.060
1,14:52,1,10,CLE 47,0,0,Jacoby Brissett pass complete deep left to Donovan Peoples-Jones for 38 yards (tackle by Kader Kohou),2.060,4.580
1,14:10,1,10,MIA 15,0,0,Nick Chubb left guard for 1 yard (tackle by Christian Wilkins),4.580,4.110
1,13:29,2,9,MIA 14,0,0,Jacoby Brissett pass complete short middle to Pharaoh Brown for 5 yards (tackle by Elandon Roberts),4.110,4.220
1,12:43,3,4,MIA 9,0,0,"Penalty on Emmanuel Ogbah: Neutral Zone Infraction, 5 yards (accepted) (no play)",4.220,6.280
1,12:25,1,4,MIA 4,0,0,"Jacoby Brissett pass incomplete short left intended for Donovan Peoples-Jones. Penalty on Jerome Baker: Defensive Pass Interference, 3 yards (accepted) (no play)",6.280,6.970
1,12:18,1,1,MIA 1,6,0,"Jacoby Brissett pass complete short left to Harrison Bryant for 1 yard, touchdown",6.970,7.000
1,12:13,,,MIA 15,7,0,Cade York kicks extra point good,0.000,0.000
1,12:13,,,CLE 35,7,0,"Cade York kicks off 62 yards, returned by Raheem Mostert for 13 yards (tackle by D'Anthony Bell)",0.000,-0.140
1,12:08,1,10,MIA 16,7,0,Tua Tagovailoa pass complete short right to Raheem Mostert for 4 yards (tackle by Sione Takitaki),-0.140,0.010
1,11:32,2,6,MIA 20,7,0,Raheem Mostert left guard for 7 yards (tackle by Grant Delpit),0.010,0.740
1,10:50,1,10,MIA 27,7,0,Raheem Mostert right end for 2 yards (tackle by Deion Jones and Grant Delpit),0.740,0.470
1,10:16,2,8,MIA 29,7,0,Tua Tagovailoa pass complete short left to Raheem Mostert for 5 yards (tackle by John Johnson and Deion Jones),0.470,0.430
1,9:35,3,3,MIA 34,7,0,Tua Tagovailoa pass complete short left to Tyreek Hill for 2 yards (tackle by Denzel Ward),0.430,-0.980
1,9:05,4,1,MIA 36,7,0,Jeff Wilson right tackle for 4 yards (tackle by Sione Takitaki and John Johnson),-0.980,1.600
1,8:30,1,10,MIA 40,7,0,Tua Tagovailoa pass complete deep left to Trent Sherfield for 18 yards (tackle by Sione Takitaki),1.600,2.790
1,7:45,1,10,CLE 42,7,0,Jeff Wilson up the middle for 18 yards (tackle by Alex Wright),2.790,3.970
1,7:08,1,10,CLE 24,7,0,Jeff Wilson left guard for 11 yards (tackle by Denzel Ward),3.970,4.710
1,6:21,1,10,CLE 13,7,6,"Tua Tagovailoa pass complete short left to Alec Ingold for 13 yards, touchdown",4.710,7.000
1,6:13,,,CLE 15,7,7,Jason Sanders kicks extra point good,0.000,0.000
1,6:13,,,MIA 35,7,7,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,6:13,1,10,CLE 25,7,7,Nick Chubb right tackle for 1 yard (tackle by Elandon Roberts),0.610,0.200
1,5:33,2,9,CLE 26,7,7,Jacoby Brissett pass complete short right to Pharaoh Brown for 8 yards (tackle by Jerome Baker),0.200,0.560
1,5:10,3,1,CLE 34,7,7,Jacoby Brissett up the middle for 2 yards (tackle by Christian Wilkins and Bradley Chubb),0.560,1.330
1,4:30,1,10,CLE 36,7,7,Jacoby Brissett pass complete short left to David Bell for 5 yards (tackle by Elandon Roberts),1.330,1.470
1,3:59,2,5,CLE 41,7,7,Jacoby Brissett sacked by and Christian Wilkins for -8 yards and Bradley Chubb for -8 yards,1.470,-0.300
1,3:13,3,13,CLE 33,7,7,Jacoby Brissett pass complete deep left to Donovan Peoples-Jones for 22 yards (tackle by Duke Riley and Verone McKinley),-0.300,2.590
1,2:28,1,10,MIA 45,7,7,Nick Chubb left end for 5 yards (tackle by Xavien Howard),2.590,2.720
1,1:49,2,5,MIA 40,7,7,Nick Chubb up the middle for 4 yards (tackle by Eric Rowe and Jerome Baker),2.720,2.540
1,1:15,3,1,MIA 36,7,7,Jacoby Brissett pass incomplete deep right intended for Michael Woods,2.540,0.890
1,1:05,,,,,,Timeout #1 by Cleveland Browns,,
1,1:05,4,1,MIA 36,7,7,Jacoby Brissett up the middle for 2 yards (tackle by Elandon Roberts),0.890,3.310
1,0:32,1,10,MIA 34,7,7,Jacoby Brissett pass incomplete short right intended for Pharaoh Brown,3.310,2.770
1,0:20,2,10,MIA 34,7,7,"Nick Chubb right tackle for 3 yards. Nick Chubb fumbles (forced by Zach Sieler), recovered by Xavien Howard at MIA-29 (tackle by Zach Sieler)",2.770,-0.870
1,0:13,1,10,MIA 29,7,7,Jeff Wilson right guard for 6 yards (tackle by Ronnie Harrison),0.870,1.140
Quarter,Time,Down,ToGo,Location,CLE,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,MIA 35,7,7,Tua Tagovailoa pass incomplete short right intended for Jaylen Waddle (defended by Martin Emerson),1.140,0.430
2,14:56,3,4,MIA 35,7,7,Tua Tagovailoa pass complete deep middle to Jaylen Waddle for 29 yards (tackle by Grant Delpit),0.430,3.180
2,14:24,1,10,CLE 36,7,7,"Penalty on Robert Jones: False Start, 5 yards (accepted) (no play)",3.180,2.850
2,14:12,1,15,CLE 41,7,7,Raheem Mostert left end for 14 yards (tackle by John Johnson and Tommy Togiai),2.850,3.850
2,13:24,2,1,CLE 27,7,7,Raheem Mostert left guard for 2 yards (tackle by Grant Delpit and Deion Jones),3.850,3.910
2,12:46,1,10,CLE 25,7,7,Cedrick Wilson sacked by and Greg Newsome for -6 yards and Deion Jones for -6 yards,3.910,2.550
2,11:58,2,16,CLE 31,7,7,Tua Tagovailoa pass incomplete short left intended for Jeff Wilson,2.550,1.880
2,11:51,3,16,CLE 31,7,7,Tua Tagovailoa pass complete short left to Jeff Wilson for 10 yards (tackle by Denzel Ward and Grant Delpit),1.880,2.080
2,11:09,4,6,CLE 21,7,10,Jason Sanders 39 yard field goal good,2.080,3.000
2,11:05,,,MIA 35,7,10,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
2,11:05,1,10,CLE 25,7,10,Kareem Hunt right tackle for 1 yard (tackle by Elandon Roberts and Kader Kohou),0.610,0.200
2,10:27,2,9,CLE 26,7,10,Jacoby Brissett pass complete short right to Amari Cooper for 10 yards (tackle by Xavien Howard and Verone McKinley),0.200,1.330
2,9:48,1,10,CLE 36,7,10,Jacoby Brissett scrambles right end for 3 yards (tackle by Andrew Van Ginkel),1.330,1.200
2,9:13,2,7,CLE 39,7,10,Jacoby Brissett pass complete short left to Harrison Bryant for 2 yards (tackle by Xavien Howard and Andrew Van Ginkel),1.200,0.760
2,8:27,3,5,CLE 41,7,10,Jacoby Brissett pass complete short left to Amari Cooper for 10 yards (tackle by Xavien Howard),0.760,2.320
2,7:44,1,10,MIA 49,7,10,Kareem Hunt up the middle for 1 yard (tackle by Jerome Baker and John Jenkins),2.320,1.920
2,7:03,2,9,MIA 48,7,10,Kareem Hunt right guard for 7 yards (tackle by Kader Kohou),1.920,2.150
2,6:21,3,2,MIA 41,7,10,Kareem Hunt up the middle for -1 yards (tackle by Jerome Baker),2.150,0.460
2,5:44,4,3,MIA 42,7,10,Jacoby Brissett pass incomplete short middle intended for Donovan Peoples-Jones (defended by Kader Kohou),0.460,-1.730
2,5:35,1,10,MIA 42,7,10,"Tua Tagovailoa pass complete deep right to Tyreek Hill for 20 yards. Penalty on Sione Takitaki: Illegal Contact, 5 yards (declined)",1.730,3.050
2,5:27,1,10,CLE 38,7,10,Jeff Wilson up the middle for 2 yards (tackle by Myles Garrett and Sione Takitaki),3.050,2.780
2,4:42,2,8,CLE 36,7,10,Jeff Wilson right tackle for 13 yards (tackle by Martin Emerson),2.780,4.040
2,3:59,1,10,CLE 23,7,10,Jeff Wilson left tackle for 9 yards (tackle by Jordan Kunaszyk),4.040,4.950
2,3:31,2,1,CLE 14,7,10,Raheem Mostert up the middle for no gain (tackle by Jadeveon Clowney),4.950,4.280
2,2:45,3,1,CLE 14,7,10,Durham Smythe up the middle for no gain (tackle by Jordan Kunaszyk),4.280,2.660
2,2:16,4,1,CLE 14,7,10,Jeff Wilson up the middle for -1 yards (tackle by Grant Delpit and Jordan Kunaszyk),2.660,0.220
2,2:08,1,10,CLE 15,7,10,Jacoby Brissett pass complete short left to Harrison Bryant for 12 yards (tackle by Andrew Van Ginkel),-0.220,0.740
2,2:00,1,10,CLE 27,7,10,Nick Chubb left end for 2 yards (tackle by Christian Wilkins),0.740,0.470
2,1:40,2,8,CLE 29,7,10,Jacoby Brissett pass complete short left to Nick Chubb for 2 yards (tackle by Jerome Baker),0.470,0.040
2,1:36,3,6,CLE 31,7,10,Jacoby Brissett sacked by and Christian Wilkins for -11 yards and Melvin Ingram for -11 yards,0.040,-2.030
2,1:31,,,,,,Timeout #1 by Miami Dolphins,,
