Unnamed: 0,CLE,MIA
First Downs,20,29
Rush-Yds-TDs,24-112-1,33-195-2
Cmp-Att-Yd-TD-INT,22-35-212-1-0,26-33-302-3-0
Sacked-Yards,3-27,1-6
Net Pass Yards,185,296
Total Yards,297,491
Fumbles-Lost,2-1,1-0
Turnovers,1,0
Penalties-Yards,6-52,5-43
Third Down Conv.,5-12,6-11
Fourth Down Conv.,2-5,1-2
Time of Possession,26:46,33:14
