Quarter,Time,Down,ToGo,Location,LAR,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,OAK 25,0,0,Marshawn Lynch left guard for 3 yards (tackle by Michael Brockers),0.610,0.470
1,14:29,2,7,OAK 28,0,0,"Penalty on Michael Brockers: Neutral Zone Infraction, 5 yards (no play)",0.470,1.140
1,14:09,2,2,OAK 33,0,0,Marshawn Lynch up the middle for 2 yards (tackle by Cory Littleton),1.140,1.270
1,13:25,1,10,OAK 35,0,0,Derek Carr pass complete short middle to Jared Cook for 45 yards (tackle by John Johnson and Aqib Talib),1.270,4.240
1,12:39,1,10,LAR 20,0,0,Amari Cooper right end for 9 yards (tackle by Aqib Talib),4.240,5.260
1,12:03,,,,,,Timeout #1 by Oakland Raiders,,
1,12:03,2,1,LAR 11,0,0,Marshawn Lynch up the middle for 4 yards (tackle by Ndamukong Suh and Marcus Peters),5.260,5.600
1,11:16,1,7,LAR 7,0,0,"Penalty on Lee Smith: False Start, 5 yards (no play)",5.600,4.640
1,10:58,1,12,LAR 12,0,0,Derek Carr pass complete short left to Marshawn Lynch for 2 yards (tackle by Cory Littleton),4.640,4.190
1,10:32,2,10,LAR 10,0,6,"Marshawn Lynch up the middle for 10 yards, touchdown",4.190,7.000
1,10:23,,,LAR 15,0,7,Mike Nugent kicks extra point good,0.000,0.000
1,10:23,,,OAK 35,0,7,"Mike Nugent kicks off 66 yards, returned by Pharoh Cooper for no gain (tackle by Marquel Lee and Keon Hatcher)",0.000,0.610
1,10:16,1,10,LAR 25,0,7,Brandin Cooks left end for 6 yards (tackle by Derrick Johnson and Leon Hall),0.610,0.870
1,9:36,2,4,LAR 31,0,7,Todd Gurley right tackle for 2 yards (tackle by Frostee Rucker and Tahir Whitehead),0.870,0.430
1,8:52,3,2,LAR 33,0,7,Jared Goff pass incomplete short right intended for Brandin Cooks (defended by Rashaan Melvin),0.430,-1.180
1,8:47,4,2,LAR 33,0,7,"Johnny Hekker punts 62 yards, returned by Dwayne Harris for 10 yards (tackle by Blake Countess and Jake McQuaide)",-1.180,0.220
1,8:34,1,10,OAK 15,0,7,Derek Carr up the middle for -5 yards (tackle by Samson Ebukam),-0.220,-1.150
1,7:55,2,15,OAK 10,0,7,"Penalty on Jared Cook: False Start, 5 yards (no play)",-1.150,-1.510
1,7:38,2,20,OAK 5,0,7,Derek Carr pass complete short right to Doug Martin for -1 yards (tackle by Samson Ebukam),-1.510,-2.710
1,6:54,3,21,OAK 4,0,7,Derek Carr pass complete short left to Jordy Nelson for 3 yards (tackle by Marcus Peters),-2.710,-2.490
1,6:20,4,18,OAK 7,0,7,Johnny Townsend punts 55 yards,-2.490,-2.260
1,6:07,1,10,LAR 50,0,7,Jared Goff pass incomplete deep left intended for Cooper Kupp,2.260,1.710
1,6:01,2,10,LAR 50,0,7,Jared Goff pass complete short middle to Cooper Kupp for 11 yards (tackle by Reggie Nelson),1.710,2.980
1,5:37,1,10,OAK 39,0,7,Jared Goff pass complete deep right to Robert Woods for 20 yards (tackle by Rashaan Melvin),2.980,4.310
1,4:59,1,10,OAK 19,6,7,"Jared Goff pass complete short right to Todd Gurley for 19 yards, touchdown",4.310,7.000
1,4:53,,,OAK 15,7,7,Greg Zuerlein kicks extra point good,0.000,0.000
1,4:53,,,LAR 35,7,7,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,4:53,1,10,OAK 25,7,7,"Derek Carr pass complete deep right to Amari Cooper for 16 yards. Penalty on Kolton Miller: Offensive Holding, 10 yards (no play)",0.610,-0.410
1,4:34,1,20,OAK 15,7,7,Derek Carr pass complete short right to Derek Carrier for 12 yards (tackle by Samson Ebukam and Aqib Talib),-0.410,0.330
1,4:00,2,8,OAK 27,7,7,"Penalty on Derek Carr: False Start, 5 yards (no play)",0.330,-0.340
1,3:37,2,13,OAK 22,7,7,"Derek Carr sacked by Aaron Donald for no gain. Penalty on Aaron Donald: Roughing the Passer, 15 yards (no play)",-0.340,1.400
1,3:17,1,10,OAK 37,7,7,Marshawn Lynch left guard for 3 yards (tackle by Michael Brockers and Ndamukong Suh),1.400,1.260
1,2:31,2,7,OAK 40,7,7,Derek Carr pass incomplete short right intended for Jared Cook (defended by John Johnson),1.260,0.560
1,2:27,3,7,OAK 40,7,7,Derek Carr pass complete short middle to Jared Cook for 11 yards (tackle by John Johnson),0.560,2.320
1,2:01,,,,,,Timeout #1 by Los Angeles Rams,,
1,2:01,1,10,LAR 49,7,7,"Derek Carr pass incomplete deep left intended for Jordy Nelson. Penalty on Gabe Jackson: Offensive Holding, 10 yards (no play)",2.320,1.660
1,1:56,1,20,OAK 41,7,7,Marshawn Lynch up the middle for 4 yards (tackle by John Johnson and Cory Littleton),1.660,0.970
1,1:10,2,16,OAK 45,7,7,Derek Carr pass complete short right to Marshawn Lynch for 6 yards (tackle by Lamarcus Joyner and Aqib Talib),0.970,1.090
1,0:34,3,10,LAR 49,7,7,Derek Carr pass complete short left to Seth Roberts for 11 yards (tackle by Cory Littleton and Marcus Peters),1.090,3.050
Quarter,Time,Down,ToGo,Location,LAR,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAR 38,7,7,Derek Carr pass complete deep right to Jared Cook for 28 yards (tackle by Aqib Talib). Penalty on Aqib Talib: Illegal Contact (Declined),3.050,4.910
2,14:37,1,10,LAR 10,7,7,Marshawn Lynch right end for -5 yards (tackle by Samson Ebukam and Matt Longacre),4.910,3.460
2,13:55,2,15,LAR 15,7,7,Derek Carr right end for 6 yards (tackle by John Franklin-Myers),3.460,3.360
2,13:14,,,,,,Timeout #2 by Oakland Raiders,,
2,13:14,3,9,LAR 9,7,7,Derek Carr pass complete short left to Jordy Nelson for 3 yards (tackle by Lamarcus Joyner),3.360,2.990
2,12:33,4,6,LAR 6,7,10,Mike Nugent 24 yard field goal good,2.990,3.000
2,12:31,,,OAK 35,7,10,"Mike Nugent kicks off 70 yards, returned by Pharoh Cooper for no gain (tackle by Marcus Gilchrist)",0.000,0.150
2,12:27,1,10,LAR 19,7,10,Jared Goff pass incomplete short left intended for Brandin Cooks (defended by Marcus Gilchrist),0.150,-0.390
