Unnamed: 0,LAR,OAK
First Downs,23,20
Rush-Yds-TDs,26-140-0,23-95-1
Cmp-Att-Yd-TD-INT,18-33-233-2-0,29-40-303-0-3
Sacked-Yards,1-8,1-3
Net Pass Yards,225,300
Total Yards,365,395
Fumbles-Lost,1-0,0-0
Turnovers,0,3
Penalties-Yards,8-70,11-155
Third Down Conv.,4-11,5-11
Fourth Down Conv.,0-0,0-0
Time of Possession,28:29,31:31
