Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Todd Gurley,LAR,20,108,0,6,46,2.3,62,3.1,1,20.0
Cooper Kupp,LAR,2,16,0,2,14,7.0,2,1.0,0,
Malcolm Brown,LAR,1,5,0,0,2,2.0,3,3.0,0,
Brandin Cooks,LAR,1,6,0,0,4,4.0,2,2.0,0,
Jared Goff,LAR,1,-1,0,0,-1,-1.0,0,0.0,0,
Robert Woods,LAR,1,6,0,0,3,3.0,3,3.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Marshawn Lynch,OAK,11,41,1,4,9,0.8,32,2.9,1,11.0
Jalen Richard,OAK,5,24,0,1,10,2.0,14,2.8,1,5.0
Doug Martin,OAK,4,20,0,2,11,2.8,9,2.3,0,
Derek Carr,OAK,2,1,0,0,1,0.5,0,0.0,0,
Amari Cooper,OAK,1,9,0,,-5,-5.0,14,14.0,1,1.0
