Quarter,Time,Tm,Detail,LAR,OAK
1.0,10:23,Raiders,Marshawn Lynch 10 yard rush (Mike Nugent kick),0,7
,4:53,Rams,Todd Gurley 19 yard pass from Jared Goff (Greg Zuerlein kick),7,7
2.0,12:31,Raiders,Mike Nugent 24 yard field goal,7,10
,2:40,Rams,Greg Zuerlein 20 yard field goal,10,10
,0:10,Raiders,Mike Nugent 48 yard field goal,10,13
3.0,9:04,Rams,Greg Zuerlein 28 yard field goal,13,13
,0:00,Rams,Cooper Kupp 8 yard pass from Jared Goff (Greg Zuerlein kick),20,13
4.0,9:19,Rams,Greg Zuerlein 55 yard field goal,23,13
,3:15,Rams,Greg Zuerlein 20 yard field goal,26,13
,1:59,Rams,Marcus Peters 50 yard interception return (Greg Zuerlein kick),33,13
