Quarter,Time,Down,ToGo,Location,IND,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,CLE 30,0,0,"Phil Dawson kicks off 67 yards, returned by Brad Pyatt for 35 yards (tackle by Chaun Thompson)",0.000,1.470
1,14:52,1,10,IND 38,0,0,Peyton Manning pass complete to Ricky Williams for 9 yards (tackle by Anthony Henry),1.470,2.140
1,14:24,2,1,IND 47,0,0,Edgerrin James right guard for no gain (tackle by Robert Griffith),2.140,1.420
1,13:37,,,,0,0,Timeout #1 by Indianapolis Colts,0.000,1.420
1,13:37,3,1,IND 47,0,0,"Peyton Manning pass complete to Marcus Pollard for 18 yards (tackle by Daylon McCutcheon). Marcus Pollard fumbles (forced by Daylon McCutcheon), ball out of bounds at CLE-35",1.420,3.250
1,13:27,1,10,CLE 35,0,0,Peyton Manning pass incomplete intended for Edgerrin James,3.250,2.700
1,13:23,2,10,CLE 35,0,0,Edgerrin James left guard for no gain (tackle by Robert Griffith),2.700,2.010
1,12:45,3,10,CLE 35,0,0,Peyton Manning pass complete to Reggie Wayne for 13 yards (tackle by Chris Crocker),2.010,4.110
1,12:01,1,10,CLE 22,0,0,Edgerrin James right tackle for 3 yards (tackle by Robert Griffith),4.110,3.970
1,11:27,2,7,CLE 19,0,0,Peyton Manning pass complete to Edgerrin James for 7 yards (tackle by Ben Taylor),3.970,4.780
1,10:46,1,10,CLE 12,0,0,Peyton Manning pass incomplete intended for Edgerrin James,4.780,4.100
1,10:41,2,10,CLE 12,0,0,Peyton Manning pass complete to Edgerrin James for 6 yards (tackle by Daylon McCutcheon),4.100,4.380
1,9:56,3,4,CLE 6,0,0,Peyton Manning pass complete to Marvin Harrison for 4 yards (tackle by Andra Davis),4.380,6.740
1,9:17,1,2,CLE 2,0,0,Peyton Manning pass incomplete intended for Marcus Pollard is intercepted by Kevin Bentley and returned for 25 yards (tackle by Rick DeMulling),6.740,-0.480
1,9:05,1,10,CLE 23,0,0,"Kelly Holcomb pass complete to William Green for 29 yards (tackle by Mike Doss). Penalty on Ryan Tucker: Offensive Holding, 10 yards (no play)",0.480,-0.590
1,8:39,1,20,CLE 13,0,0,"Penalty on Montae Reagor: Neutral Zone Infraction, 5 yards (no play)",-0.590,0.000
1,8:22,1,15,CLE 18,0,0,William Green right guard for 5 yards (tackle by Marcus Washington and Idrees Bashir),0.000,-0.070
1,7:45,2,10,CLE 23,0,0,Kelly Holcomb pass complete to Quincy Morgan for 14 yards (tackle by Walt Harris),-0.070,1.400
1,7:08,1,10,CLE 37,0,0,"Kelly Holcomb pass complete to Jamel White for 6 yards (tackle by Rob Morris). Penalty on Walt Harris: Defensive Holding, 5 yards (no play)",1.400,1.730
1,6:40,1,10,CLE 42,0,0,William Green right guard for 4 yards (tackle by Chad Bratzke and David Thornton),1.730,1.730
1,6:03,2,6,CLE 46,0,0,Kelly Holcomb pass complete to Dennis Northcutt for 24 yards (tackle by Idrees Bashir),1.730,3.580
1,5:20,1,10,IND 30,0,0,William Green right guard for 4 yards (tackle by Jim Nelson and David Thornton),3.580,3.570
1,4:44,2,6,IND 26,0,0,William Green left end for -1 yards (tackle by Mike Doss),3.570,2.740
1,4:03,3,7,IND 27,0,0,"Kelly Holcomb pass complete to Kevin Johnson for 6 yards (tackle by Nick Harper). Penalty on Robert Mathis: Roughing the Passer, 10 yards",2.740,4.840
1,3:31,1,10,IND 11,0,0,"Penalty on Chad Bratzke: Neutral Zone Infraction, 5 yards (no play)",4.840,5.990
1,3:09,1,5,IND 6,0,0,William Green right guard for 5 yards,5.990,6.970
1,2:25,1,1,IND 1,0,0,William Green right guard for no gain (tackle by Marcus Washington and Raheem Brock),6.970,5.910
1,1:44,2,1,IND 1,0,0,Kelly Holcomb pass incomplete intended for Steve Heiden (defended by Marcus Washington),5.910,5.170
1,1:38,3,1,IND 1,0,0,William Green right end for no gain (tackle by David Thornton and Marcus Washington),5.170,3.550
1,0:56,4,1,IND 1,0,3,Phil Dawson 19 yard field goal good,3.550,3.000
1,,,,CLE 30,0,3,"Phil Dawson kicks off 69 yards, returned by Brad Pyatt for 14 yards (tackle by Leigh Bodden)",0.000,-0.220
1,0:47,1,10,IND 15,0,3,"Edgerrin James right end for 12 yards (tackle by Robert Griffith). Edgerrin James fumbles (forced by Robert Griffith), ball out of bounds at IND-27",-0.220,0.740
1,0:22,1,10,IND 27,0,3,Peyton Manning pass complete to Marcus Pollard for 6 yards (tackle by Ben Taylor),0.740,1.010
Quarter,Time,Down,ToGo,Location,IND,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,IND 33,0,3,Peyton Manning pass complete to Marcus Pollard for 4 yards (tackle by Daylon McCutcheon),1.010,1.400
2,14:15,1,10,IND 37,0,3,Peyton Manning pass complete to Marvin Harrison for 4 yards (tackle by Daylon McCutcheon),1.400,1.400
2,13:35,2,6,IND 41,0,3,Edgerrin James left tackle for 11 yards (tackle by Gerard Warren),1.400,2.390
2,12:46,1,10,CLE 48,0,3,Edgerrin James left end for 4 yards (tackle by Anthony Henry),2.390,2.390
2,12:15,2,6,CLE 44,0,3,Peyton Manning sacked by Courtney Brown for -7 yards,2.390,0.760
2,11:43,3,13,IND 49,0,3,Peyton Manning pass complete to Troy Walters for 10 yards (tackle by Daylon McCutcheon),0.760,0.530
