Quarter,Time,Tm,Detail,IND,CLE
1.0,0:53,Browns,Phil Dawson 19 yard field goal,0,3
2.0,0:00,Colts,Mike Vanderjagt 22 yard field goal,3,3
3.0,3:43,Colts,Mike Vanderjagt 46 yard field goal,6,3
4.0,8:44,Browns,Phil Dawson 20 yard field goal,6,6
,0:01,Colts,Mike Vanderjagt 45 yard field goal,9,6
