Unnamed: 0,PHI,NWE
First Downs,22,25
Rush-Yds-TDs,19-55-1,16-48-2
Cmp-Att-Yd-TD-INT,27-42-345-3-3,34-54-380-1-0
Sacked-Yards,2-9,3-18
Net Pass Yards,336,362
Total Yards,391,410
Fumbles-Lost,2-0,0-0
Turnovers,3,0
Penalties-Yards,3-18,7-44
Third Down Conv.,8-13,10-16
Fourth Down Conv.,1-1,0-1
Time of Possession,27:49,32:11
