Quarter,Time,Down,ToGo,Location,PHI,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,NWE 30,0,0,"Stephen Gostkowski kicks off 67 yards, returned by J.R. Reed for 28 yards (tackle by Kyle Eckel)",0.000,1.000
1,14:55,1,10,PHI 31,0,0,A.J. Feeley pass complete short right to Brian Westbrook for 2 yards (tackle by Mike Vrabel),1.000,0.730
1,14:22,2,8,PHI 33,0,0,Brian Westbrook right guard for 5 yards (tackle by Tedy Bruschi and Rodney Harrison),0.730,0.700
1,13:46,3,3,PHI 38,0,6,"A.J. Feeley pass incomplete short right intended for Brian Westbrook is intercepted by Asante Samuel at PHI-40 and returned for 40 yards, touchdown",0.700,-7.000
1,,,,PHI 2,0,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,,,,NWE 30,0,7,"Stephen Gostkowski kicks off 69 yards, returned by J.R. Reed for 22 yards (tackle by Eddie Jackson)",0.000,0.480
1,13:33,1,10,PHI 23,0,7,A.J. Feeley pass complete deep left to Jason Avant for 21 yards (tackle by James Sanders),0.480,1.860
1,13:02,1,10,PHI 44,0,7,Brian Westbrook up the middle for -2 yards (tackle by Mike Vrabel),1.860,1.050
1,12:24,2,12,PHI 42,0,7,A.J. Feeley pass complete short left to Reggie Brown for 11 yards (tackle by Ellis Hobbs),1.050,1.820
1,11:46,3,1,NWE 47,0,7,Brian Westbrook up the middle for 5 yards (tackle by Ellis Hobbs),1.820,2.790
1,11:16,1,10,NWE 42,0,7,Brian Westbrook left guard for 3 yards (tackle by Tedy Bruschi),2.790,2.650
1,10:40,2,7,NWE 39,0,7,A.J. Feeley pass incomplete short middle intended for L.J. Smith,2.650,1.950
1,10:36,3,7,NWE 39,0,7,A.J. Feeley pass complete short middle to Greg Lewis for 15 yards (tackle by Rashad Baker),1.950,3.970
1,9:56,1,10,NWE 24,0,7,Brian Westbrook right end for -2 yards (tackle by Rodney Harrison),3.970,3.160
1,9:26,2,12,NWE 26,0,7,A.J. Feeley pass complete short right to Kevin Curtis for 10 yards (tackle by Randall Gay),3.160,3.950
1,8:47,3,2,NWE 16,0,7,Brian Westbrook right guard for 1 yard (tackle by Adalius Thomas and Jarvis Green),3.950,2.590
1,8:30,4,1,NWE 15,0,7,A.J. Feeley up the middle for 2 yards (tackle by Tedy Bruschi),2.590,4.710
1,7:48,1,10,NWE 13,0,7,Brian Westbrook left end for 3 yards (tackle by Adalius Thomas and Jarvis Green),4.710,4.580
1,7:07,2,7,NWE 10,0,7,A.J. Feeley pass complete short right to Reggie Brown for 9 yards (tackle by Randall Gay),4.580,6.970
1,6:41,1,1,NWE 1,6,7,"Brian Westbrook right guard for 1 yard, touchdown",6.970,7.000
1,,,,NWE 2,7,7,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,7,7,"David Akers kicks off 68 yards, returned by Ellis Hobbs for 20 yards (tackle by Akeem Jordan)",0.000,0.410
1,6:31,1,10,NWE 22,7,7,Tom Brady pass complete short right to Donte Stallworth for 8 yards (tackle by Lito Sheppard),0.410,0.950
1,6:06,2,2,NWE 30,7,7,Tom Brady pass complete short middle to Jabar Gaffney for 7 yards (tackle by Omar Gaither),0.950,1.400
1,5:31,1,10,NWE 37,7,7,Tom Brady sacked by Juqua Parker for -7 yards,1.400,-0.090
1,5:03,2,17,NWE 30,7,7,Tom Brady pass complete short middle to Randy Moss for 7 yards (tackle by Takeo Spikes),-0.090,0.170
1,4:22,3,10,NWE 37,7,7,Tom Brady pass complete deep middle to Jabar Gaffney for 32 yards (tackle by J.R. Reed),0.170,3.510
1,3:35,1,10,PHI 31,7,7,Tom Brady pass incomplete deep middle intended for Randy Moss,3.510,2.970
1,3:31,2,10,PHI 31,7,7,Tom Brady up the middle for 12 yards (tackle by Joselio Hanson),2.970,4.310
1,2:48,1,10,PHI 19,7,7,Tom Brady pass complete short middle to Wes Welker for 9 yards (tackle by J.R. Reed),4.310,5.360
1,2:11,2,1,PHI 10,7,7,Tom Brady pass complete short right to Kevin Faulk for 9 yards (tackle by Takeo Spikes),5.360,6.970
1,1:38,,,,7,7,Timeout #1 by New England Patriots,0.000,6.970
1,1:38,1,1,PHI 1,7,13,"Heath Evans right guard for 1 yard, touchdown",6.970,7.000
1,,,,PHI 2,7,14,Stephen Gostkowski kicks extra point good,0.000,0.000
1,,,,NWE 30,7,14,"Stephen Gostkowski kicks off 64 yards, returned by Correll Buckhalter for 18 yards (tackle by Willie Andrews)",0.000,0.540
1,1:29,1,10,PHI 24,7,14,A.J. Feeley pass complete short left to Brian Westbrook for 13 yards,0.540,1.400
1,1:02,1,10,PHI 37,7,14,Brian Westbrook right tackle for 2 yards (tackle by Vince Wilfork and Mike Vrabel),1.400,1.130
1,0:26,2,8,PHI 39,7,14,A.J. Feeley pass complete deep left to Kevin Curtis for 17 yards (tackle by Ellis Hobbs),1.130,2.650
Quarter,Time,Down,ToGo,Location,PHI,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NWE 44,7,14,A.J. Feeley pass incomplete deep left intended for Kevin Curtis,2.650,2.110
2,14:55,2,10,NWE 44,7,14,Brian Westbrook left end for 14 yards (tackle by Randall Gay and Junior Seau),2.110,3.580
2,14:14,1,10,NWE 30,7,14,A.J. Feeley pass complete short right to Brian Westbrook for 1 yard (tackle by Mike Vrabel),3.580,3.170
2,13:35,2,9,NWE 29,7,14,Jason Avant up the middle for 1 yard (tackle by Adalius Thomas and Vince Wilfork),3.170,2.610
2,12:56,,,,7,14,Timeout #2 by New England Patriots,0.000,2.610
