Unnamed: 0,BUF,OAK
First Downs,15,26
Rush-Yds-TDs,23-84-0,37-162-4
Cmp-Att-Yd-TD-INT,19-27-159-2-0,19-27-261-1-0
Sacked-Yards,3-33,2-7
Net Pass Yards,126,254
Total Yards,210,416
Fumbles-Lost,1-1,3-1
Turnovers,1,1
Penalties-Yards,7-51,8-53
Third Down Conv.,3-10,7-11
Fourth Down Conv.,0-1,0-0
Time of Possession,27:09,32:51
