Quarter,Time,Tm,Detail,BUF,OAK
1.0,6:37,Bills,Lee Evans 5 yard pass from Kelly Holcomb (Rian Lindell kick),7,0
2.0,14:47,Raiders,Sebastian Janikowski 25 yard field goal,7,3
,11:43,Raiders,Randy Moss 22 yard pass from Kerry Collins (Sebastian Janikowski kick),7,10
,4:04,Bills,Rian Lindell 41 yard field goal,10,10
,0:40,Raiders,LaMont Jordan 1 yard rush (Sebastian Janikowski kick),10,17
3.0,10:10,Raiders,LaMont Jordan 17 yard rush (Sebastian Janikowski kick),10,24
4.0,14:53,Bills,Josh Reed 9 yard pass from Kelly Holcomb (Rian Lindell kick),17,24
,8:49,Raiders,LaMont Jordan 7 yard rush (Sebastian Janikowski kick),17,31
,0:14,Raiders,Zack Crockett 2 yard rush (Sebastian Janikowski kick),17,38
