Unnamed: 0,BUF,MIN
First Downs,16,21
Rush-Yds-TDs,38-128-2,6-14-0
Cmp-Att-Yd-TD-INT,15-22-196-1-0,40-55-296-1-1
Sacked-Yards,3-32,4-18
Net Pass Yards,164,278
Total Yards,292,292
Fumbles-Lost,3-0,4-2
Turnovers,0,3
Penalties-Yards,12-84,6-59
Third Down Conv.,4-13,5-14
Fourth Down Conv.,1-1,0-1
Time of Possession,35:45,24:15
