Quarter,Time,Down,ToGo,Location,CHI,ARI,Detail,EPB,EPA
2,12:15,2,13,CHI 32,0,14,"Penalty on Reggie Wells: False Start, 5 yards (no play)",2.700,2.020
2,12:05,2,18,CHI 37,0,14,Edgerrin James left tackle for 3 yards (tackle by Alex Brown),2.020,1.750
2,11:27,,,,0,14,Timeout #1 by Arizona Cardinals,0.000,1.750
2,11:27,3,15,CHI 34,0,14,Matt Leinart pass incomplete deep left intended for Anquan Boldin,1.750,1.060
2,11:21,4,15,CHI 34,0,14,Neil Rackers 52 yard field goal no good,1.060,-1.730
2,11:17,1,10,CHI 42,0,14,Thomas Jones middle for no gain (tackle by Darnell Dockett and Gabe Watson),1.730,1.190
2,10:46,2,10,CHI 42,0,14,Thomas Jones right tackle for 5 yards (tackle by Adrian Wilson),1.190,1.160
2,10:11,3,5,CHI 47,0,14,Rex Grossman pass complete short right to Thomas Jones for 4 yards (tackle by Antrel Rolle),1.160,0.000
2,9:35,4,1,ARI 49,0,14,"Brad Maynard punts 49 yards, touchback",0.000,-0.280
2,9:27,1,10,ARI 20,0,14,Edgerrin James middle for 1 yard (tackle by Mike Brown),0.280,-0.130
2,8:53,2,9,ARI 21,0,14,Matt Leinart pass incomplete short left intended for Bryant Johnson,-0.130,-0.820
2,8:50,3,9,ARI 21,0,14,Matt Leinart pass complete short left to Troy Walters for 8 yards (tackle by Nathan Vasher),-0.820,-1.440
2,8:26,4,1,ARI 29,0,14,"Scott Player punts 53 yards, returned by Devin Hester for 22 yards (tackle by Calvin Pace)",-1.440,-1.600
2,8:13,1,10,CHI 40,0,14,"Rex Grossman sacked by Bertrand Berry for -8 yards. Rex Grossman fumbles (forced by Bertrand Berry), recovered by Bertrand Berry at CHI-33 (tackle by John Tait)",1.600,-3.380
2,8:05,1,10,CHI 33,0,14,Edgerrin James right end for 3 yards (tackle by Hunter Hillenmeyer and Brian Urlacher),3.380,3.240
2,7:24,2,7,CHI 30,0,14,Edgerrin James right end for no gain (tackle by Lance Briggs),3.240,2.540
2,6:45,3,7,CHI 30,0,14,Matt Leinart pass complete short left to J.J. Arrington for 12 yards (tackle by Brian Urlacher and Mike Brown),2.540,4.370
2,6:04,1,10,CHI 18,0,14,Edgerrin James left tackle for 4 yards (tackle by Lance Briggs),4.370,4.430
2,5:29,2,6,CHI 14,0,14,Edgerrin James middle for 1 yard (tackle by Lance Briggs and Charles Tillman),4.430,3.820
2,4:50,3,5,CHI 13,0,14,"Edgerrin James left end for 2 yards (tackle by Lance Briggs and Mike Brown). Penalty on Anquan Boldin: Offensive Holding, 10 yards (no play)",3.820,2.480
2,4:25,3,15,CHI 23,0,14,Matt Leinart pass incomplete short middle intended for Carlyle Holiday,2.480,1.930
2,4:25,4,15,CHI 23,0,17,Neil Rackers 41 yard field goal good,1.930,3.000
2,,,,ARI 30,0,17,"Neil Rackers kicks off 61 yards, returned by Rashied Davis for 21 yards (tackle by Obafemi Ayanbadejo). Penalty on Brendon Ayanbadejo: Offensive Holding, 10 yards",0.000,0.280
2,4:04,1,10,CHI 20,0,17,Thomas Jones right tackle for 5 yards (tackle by Gerald Hayes),0.280,0.410
2,3:46,2,5,CHI 25,0,17,Rex Grossman pass incomplete short right intended for Desmond Clark,0.410,-0.300
2,3:28,3,5,CHI 25,0,17,Rex Grossman pass complete short right to Desmond Clark for 14 yards (tackle by Karlos Dansby),-0.300,1.530
2,2:55,1,10,CHI 39,0,17,"Thomas Jones middle for 8 yards (tackle by Orlando Huff). Penalty on Muhsin Muhammad: Illegal Block Above the , 10 yards",1.530,1.400
2,2:25,1,12,CHI 37,0,17,"Rex Grossman sacked by Adrian Wilson for 0 yards. Rex Grossman fumbles (forced by Adrian Wilson), recovered by Darnell Dockett at CHI-37 and returned for 5 yards (tackle by Fred Miller)",1.400,-3.450
2,2:10,1,10,CHI 32,0,17,Matt Leinart pass complete short right to Anquan Boldin for 19 yards (tackle by Charles Tillman),3.450,4.710
2,2:00,1,10,CHI 13,0,17,Edgerrin James middle for no gain (tackle by Israel Idonije and Lance Briggs),4.710,4.050
2,1:19,2,10,CHI 13,0,17,Edgerrin James middle for no gain (tackle by Lance Briggs and Charles Tillman),4.050,3.120
2,0:46,3,10,CHI 13,0,17,Matt Leinart pass complete short middle to Obafemi Ayanbadejo for 3 yards (tackle by Lance Briggs),3.120,2.760
2,0:02,,,,0,17,Timeout #2 by Arizona Cardinals,0.000,0.000
2,0:02,,,,0,17,Timeout #1 by Chicago Bears,0.000,2.760
2,0:02,4,7,CHI 10,0,20,Neil Rackers 28 yard field goal good,2.760,3.000
Quarter,Time,Down,ToGo,Location,CHI,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 30,0,20,"Robbie Gould kicks off 65 yards, returned by J.J. Arrington for 21 yards (tackle by Rashied Davis). Penalty on Obafemi Ayanbadejo: Offensive Holding, 10 yards",0.000,-0.140
3,14:53,1,10,ARI 16,0,20,Edgerrin James middle for 1 yard (tackle by Hunter Hillenmeyer),-0.140,-0.510
3,14:07,2,9,ARI 17,0,20,Matt Leinart pass complete short left to Troy Walters for 5 yards (tackle by Brian Urlacher),-0.510,-0.570
3,13:26,3,4,ARI 22,0,20,Matt Leinart pass incomplete intended for Anquan Boldin (defended by Lance Briggs),-0.570,-1.900
3,13:22,4,4,ARI 22,0,20,"Scott Player punts 49 yards, returned by Devin Hester for 2 yards (tackle by A.J. Schable)",-1.900,-1.000
3,13:11,1,10,CHI 31,0,20,Thomas Jones right tackle for 4 yards (tackle by Antrel Rolle),1.000,1.000
3,12:30,2,6,CHI 35,0,20,Thomas Jones middle for 5 yards (tackle by Gabe Watson and Antonio Smith),1.000,0.960
3,11:55,3,1,CHI 40,0,20,Thomas Jones middle for 1 yard (tackle by Adrian Wilson and Gerald Hayes),0.960,1.660
3,11:30,1,10,CHI 41,0,20,Rex Grossman pass complete short middle to Desmond Clark for 12 yards (tackle by Karlos Dansby),1.660,2.460
3,10:49,1,10,ARI 47,0,20,Rex Grossman pass complete short left to Rashied Davis for 16 yards (tackle by Eric Green),2.460,3.510
3,10:12,1,10,ARI 31,0,20,Thomas Jones left tackle for no gain (tackle by Darnell Dockett),3.510,2.970
3,9:33,2,10,ARI 31,0,20,Rex Grossman pass incomplete short left intended for Muhsin Muhammad,2.970,2.280
3,9:30,3,10,ARI 31,0,20,Rex Grossman pass complete short right to Rashied Davis for 11 yards (tackle by Gerald Hayes),2.280,4.240
3,8:59,1,10,ARI 20,0,20,Rex Grossman pass complete short left to Bernard Berrian for 17 yards (tackle by Adrian Wilson),4.240,6.510
3,8:18,1,3,ARI 3,0,20,Jason McKie middle for -2 yards (tackle by Bertrand Berry),6.510,5.150
3,7:39,2,5,ARI 5,0,20,Rex Grossman pass incomplete short right intended for Muhsin Muhammad,5.150,4.260
3,7:31,3,5,ARI 5,0,20,Rex Grossman pass incomplete short left intended for Bernard Berrian,4.260,3.010
3,7:24,4,5,ARI 5,3,20,Robbie Gould 23 yard field goal good,3.010,3.000
3,,,,CHI 30,3,20,Robbie Gould kicks off 37 yards,0.000,1.600
3,7:22,1,10,ARI 40,3,20,Matt Leinart pass incomplete deep middle intended for Anquan Boldin,1.600,1.050
3,7:17,2,10,ARI 40,3,20,Edgerrin James left end for 5 yards (tackle by Lance Briggs),1.050,1.030
3,6:31,3,5,ARI 45,3,20,Matt Leinart pass incomplete deep left intended for Troy Walters (defended by Todd Johnson),1.030,-0.390
3,6:26,4,5,ARI 45,3,20,"Scott Player punts 43 yards, fair catch by Devin Hester. Penalty on Dante Wesley: Roughing the Kicker, 15 yards (no play)",-0.390,2.920
3,6:19,1,10,CHI 40,3,20,Matt Leinart pass incomplete short middle intended for Edgerrin James (defended by Lance Briggs),2.920,2.370
3,6:15,2,10,CHI 40,3,20,"Penalty on Leonard Davis: False Start, 5 yards (no play)",2.370,1.700
3,6:15,2,15,CHI 45,3,20,Matt Leinart pass incomplete short right intended for Troy Walters (defended by Mike Brown),1.700,1.030
3,6:11,3,15,CHI 45,3,20,Matt Leinart pass complete short left to Anquan Boldin for 18 yards (tackle by Nathan Vasher),1.030,3.780
3,5:27,1,10,CHI 27,3,20,Edgerrin James middle for 1 yard (tackle by Lance Briggs),3.780,3.370
3,4:47,2,9,CHI 26,3,20,"Edgerrin James middle for 9 yards (tackle by Charles Tillman). Penalty on ARI: Illegal Formation, 5 yards (no play)",3.370,2.690
3,4:42,2,14,CHI 31,3,20,J.J. Arrington middle for 5 yards (tackle by Mike Brown),2.690,2.680
3,3:59,3,9,CHI 26,3,20,Matt Leinart pass complete short right to J.J. Arrington for 10 yards (tackle by Charles Tillman),2.680,4.510
3,3:17,1,10,CHI 16,3,20,Edgerrin James middle for -1 yards (tackle by Lance Briggs and Brian Urlacher),4.510,3.770
3,2:40,2,11,CHI 17,3,20,Matt Leinart pass incomplete short left intended for Adam Bergen,3.770,3.020
3,2:32,3,11,CHI 17,3,20,J.J. Arrington middle for 6 yards (tackle by Alex Brown),3.020,2.750
3,1:52,4,5,CHI 11,3,23,Neil Rackers 29 yard field goal good,2.750,3.000
3,,,,ARI 30,3,23,"Neil Rackers kicks off 71 yards, returned by Devin Hester for 24 yards (tackle by Antrel Rolle)",0.000,0.480
3,1:41,1,10,CHI 23,3,23,Rex Grossman pass incomplete deep middle intended for Bernard Berrian (defended by Antrel Rolle),0.480,-0.070
3,1:34,2,10,CHI 23,3,23,Rex Grossman pass complete short right to Cedric Benson for 8 yards (tackle by Karlos Dansby),-0.070,0.300
3,1:04,3,2,CHI 31,3,23,Rex Grossman pass incomplete short left intended for Rashied Davis (defended by Adrian Wilson),0.300,-1.310
3,0:59,4,2,CHI 31,3,23,Brad Maynard punts 54 yards,-1.310,0.220
3,0:50,1,10,ARI 15,3,23,Edgerrin James left tackle for no gain (tackle by Tank Johnson),-0.220,-0.710
3,0:08,2,10,ARI 15,9,23,"Matt Leinart sacked by Mark Anderson for -9 yards. Matt Leinart fumbles (forced by Mark Anderson), recovered by Mike Brown at ARI-3 and returned for 3 yards, touchdown",-0.710,-7.000
3,,,,ARI 2,10,23,Robbie Gould kicks extra point good,0.000,0.000
3,,,,CHI 30,10,23,"Robbie Gould kicks off 70 yards, returned by J.J. Arrington for 23 yards (tackle by Todd Johnson)",0.000,0.480
Quarter,Time,Down,ToGo,Location,CHI,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,ARI 23,10,23,Edgerrin James right tackle for 1 yard (tackle by Alfonso Boone),0.480,0.070
4,14:17,,,,10,23,Timeout #1 by Arizona Cardinals,0.000,0.070
4,14:17,2,9,ARI 24,10,23,Matt Leinart pass complete short middle to Anquan Boldin for 15 yards (tackle by Cameron Worrell),0.070,1.530
4,13:32,1,10,ARI 39,10,23,Edgerrin James left tackle for 12 yards (tackle by Nathan Vasher),1.530,2.320
4,12:50,1,10,CHI 49,10,23,Edgerrin James middle for no gain (tackle by Brian Urlacher),2.320,1.780
4,12:05,2,10,CHI 49,10,23,Matt Leinart pass incomplete. Penalty on Anquan Boldin: Illegal Motion (Declined),1.780,1.090
4,11:58,3,10,CHI 49,10,23,Matt Leinart pass incomplete short right intended for Bryant Johnson,1.090,0.000
4,11:50,4,10,CHI 49,10,23,"Scott Player punts 33 yards, fair catch by Devin Hester. Penalty on Calvin Pace: Illegal Formation, 5 yards",0.000,-0.340
4,11:47,1,10,CHI 21,10,23,Cedric Benson right tackle for 4 yards (tackle by Gerald Hayes),0.340,0.340
4,11:11,2,6,CHI 25,10,23,Rex Grossman pass incomplete short right intended for Desmond Clark,0.340,-0.360
4,11:07,3,6,CHI 25,10,23,Rex Grossman pass incomplete short left intended for Muhsin Muhammad (defended by Eric Green),-0.360,-1.700
4,11:01,4,6,CHI 25,10,23,"Brad Maynard punts 54 yards, fair catch by Troy Walters",-1.700,-0.340
4,10:53,1,10,ARI 21,10,23,Edgerrin James right tackle for -1 yards (tackle by Brian Urlacher and Hunter Hillenmeyer),0.340,-0.340
4,10:20,2,11,ARI 20,10,23,Matt Leinart pass incomplete short right intended for Anquan Boldin (defended by Charles Tillman),-0.340,-1.020
4,10:17,3,11,ARI 20,10,23,Matt Leinart pass incomplete short left intended for Anquan Boldin (defended by Brian Urlacher),-1.020,-2.030
4,10:12,4,11,ARI 20,10,23,"Scott Player punts 44 yards, returned by Devin Hester for 21 yards (tackle by Hanik Milligan)",-2.030,-2.720
4,10:01,1,10,ARI 43,10,23,"Penalty on Bertrand Berry: Encroachment, 5 yards (no play)",2.720,3.450
4,10:01,1,5,ARI 38,10,23,Rex Grossman pass incomplete deep right intended for Bernard Berrian,3.450,2.850
4,9:57,2,5,ARI 38,10,23,Thomas Jones middle for 11 yards (tackle by Adrian Wilson). Penalty on Gabe Watson: Defensive Offside (Declined),2.850,3.780
4,9:40,1,10,ARI 27,10,23,Rex Grossman pass incomplete short right intended for Thomas Jones,3.780,3.230
4,9:35,2,10,ARI 27,10,23,Rex Grossman pass incomplete deep right intended for Bernard Berrian,3.230,2.540
4,9:30,3,10,ARI 27,10,23,Rex Grossman pass incomplete deep left intended for Rashied Davis,2.540,1.670
4,9:25,4,10,ARI 27,10,23,Rex Grossman pass incomplete short middle intended for Desmond Clark is intercepted by Darnell Dockett at ARI-27 and returned for -1 yards,1.670,-0.670
,,,,,,,"CHI challenged the ruling, and the original play was overturned.",,
4,9:17,1,10,ARI 26,10,23,Edgerrin James right tackle for 2 yards (tackle by Brian Urlacher),0.670,0.400
4,8:44,2,8,ARI 28,10,23,Edgerrin James left tackle for -2 yards (tackle by Brian Urlacher),0.400,-0.560
4,8:05,3,10,ARI 26,10,23,Matt Leinart pass complete short left to Troy Walters for 6 yards (tackle by Lance Briggs and Nathan Vasher),-0.560,-1.240
4,7:29,4,4,ARI 32,10,23,"Scott Player punts 49 yards, returned by Devin Hester for 10 yards (tackle by Nathan Hodel)",-1.240,-0.870
4,7:20,1,10,CHI 29,10,23,Rex Grossman pass complete short left to Desmond Clark for 9 yards (tackle by Eric Green),0.870,1.540
4,6:58,2,1,CHI 38,10,23,"Penalty on Roberto Garza: False Start, 5 yards (no play)",1.540,0.870
4,6:45,2,6,CHI 33,10,23,Rex Grossman pass incomplete short left intended for Desmond Clark (defended by Gerald Hayes),0.870,0.170
4,6:41,3,6,CHI 33,10,23,Rex Grossman pass complete short left to Bernard Berrian for 14 yards (tackle by David Macklin),0.170,2.060
4,6:20,1,10,CHI 47,10,23,Rex Grossman pass incomplete short left intended for Desmond Clark,2.060,1.520
4,6:15,2,10,CHI 47,10,23,"Penalty on Roberto Garza: False Start, 5 yards (no play)",1.520,0.840
4,5:59,2,15,CHI 42,10,23,Rex Grossman pass incomplete deep left intended for Bernard Berrian is intercepted by Robert Griffith at ARI-34 and returned for 7 yards,0.840,-1.660
4,5:53,1,10,ARI 41,10,23,Edgerrin James left tackle for -1 yards (tackle by Alfonso Boone),1.660,0.990
4,5:11,2,11,ARI 40,16,23,"Edgerrin James middle for no gain (tackle by Brian Urlacher). Edgerrin James fumbles (forced by Brian Urlacher), recovered by Charles Tillman at ARI-40 and returned for 40 yards, touchdown",0.990,-7.000
4,,,,ARI 2,17,23,Robbie Gould kicks extra point good,0.000,0.000
4,,,,CHI 30,17,23,"Robbie Gould kicks off 67 yards, returned by J.J. Arrington for 31 yards (tackle by Rod Wilson). Penalty on J.J. Arrington: Taunting, 15 yards",0.000,0.150
4,4:53,1,10,ARI 19,17,23,Edgerrin James right tackle for 1 yard (tackle by Brian Urlacher),0.150,-0.200
4,4:13,2,9,ARI 20,17,23,Matt Leinart pass complete short right to Anquan Boldin for 15 yards (tackle by Charles Tillman),-0.200,1.270
4,3:32,1,10,ARI 35,17,23,Edgerrin James right tackle for -2 yards (tackle by Brian Urlacher),1.270,0.450
4,3:27,,,,17,23,Timeout #1 by Chicago Bears,0.000,0.450
4,3:27,2,12,ARI 33,17,23,Matt Leinart pass incomplete short right intended for Bryant Johnson,0.450,-0.230
4,3:23,3,12,ARI 33,17,23,Matt Leinart pass incomplete short left intended for Troy Walters,-0.230,-1.180
4,3:17,4,12,ARI 33,23,23,"Scott Player punts 50 yards, returned by Devin Hester for 83 yards, touchdown",-1.180,-7.000
4,,,,ARI 2,24,23,Robbie Gould kicks extra point good,0.000,0.000
4,,,,CHI 30,,,"Robbie Gould kicks off 62 yards, returned by J.J. Arrington for 30 yards (tackle by Rashied Davis)",,
4,2:53,1,10,ARI 38,24,23,Matt Leinart pass complete short right to Anquan Boldin for 5 yards (tackle by Todd Johnson and Brian Urlacher),1.470,1.600
4,2:24,2,5,ARI 43,24,23,Matt Leinart pass complete short middle to Edgerrin James for 7 yards (tackle by Todd Johnson and Brian Urlacher),1.600,2.260
4,2:00,1,10,,24,23,Matt Leinart pass incomplete short left intended for Bryant Johnson (defended by Brian Urlacher),2.260,1.710
4,1:57,2,10,,24,23,Matt Leinart pass complete short left to Troy Walters for 6 yards (tackle by Danieal Manning),1.710,1.820
4,1:52,3,4,CHI 44,24,23,Matt Leinart pass complete short right to Obafemi Ayanbadejo for 13 yards (tackle by Brian Urlacher),1.820,3.510
4,1:44,1,10,CHI 31,24,23,Matt Leinart pass complete short left to Anquan Boldin for 7 yards (tackle by Nathan Vasher and Brian Urlacher),3.510,3.910
4,1:04,2,3,CHI 24,24,23,Edgerrin James left tackle for 2 yards (tackle by Alfonso Boone),3.910,3.470
4,0:58,,,,24,23,Timeout #2 by Chicago Bears,0.000,3.470
4,0:58,3,1,CHI 22,24,23,Edgerrin James middle for -1 yards (tackle by Israel Idonije),3.470,2.050
4,0:53,,,,24,23,Timeout #3 by Chicago Bears,0.000,2.050
4,0:52,4,2,CHI 23,24,23,Neil Rackers 40 yard field goal no good,2.050,-1.000
4,0:47,1,10,CHI 31,24,23,Rex Grossman kneels for -2 yards,1.000,0.190
4,0:44,,,,24,23,Timeout #2 by Arizona Cardinals,0.000,0.190
4,0:43,2,12,CHI 29,24,23,Rex Grossman kneels for -4 yards,0.190,-1.020
4,0:05,3,16,CHI 25,24,23,Rex Grossman kneels for -1 yards,-1.020,-1.770
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
