Quarter,Time,Tm,Detail,CHI,ARI
1.0,7:06,Cardinals,Bryant Johnson 11 yard pass from Matt Leinart (Neil Rackers kick),0,7
,0:54,Cardinals,Anquan Boldin 26 yard pass from Matt Leinart (Neil Rackers kick),0,14
2.0,4:15,Cardinals,Neil Rackers 41 yard field goal,0,17
,0:00,Cardinals,Neil Rackers 28 yard field goal,0,20
3.0,7:22,Bears,Robbie Gould 23 yard field goal,3,20
,1:47,Cardinals,Neil Rackers 29 yard field goal,3,23
,0:02,Bears,Mike Brown 3 yard defensive fumble return (Robbie Gould kick),10,23
4.0,5:00,Bears,Charles Tillman 40 yard defensive fumble return (Robbie Gould kick),17,23
,2:58,Bears,Devin Hester 83 yard punt return (Robbie Gould kick),24,23
