Unnamed: 0,ATL,MIA
First Downs,21,27
Rush-Yds-TDs,22-72-1,29-132-0
Cmp-Att-Yd-TD-INT,25-40-336-2-1,32-40-291-4-2
Sacked-Yards,1-11,1-10
Net Pass Yards,325,281
Total Yards,397,413
Fumbles-Lost,1-1,0-0
Turnovers,2,2
Penalties-Yards,3-29,6-44
Third Down Conv.,6-13,7-11
Fourth Down Conv.,0-0,0-0
Time of Possession,25:22,34:38
