Quarter,Time,Tm,Detail,ATL,MIA
1.0,7:53,Dolphins,Isaiah Ford 10 yard pass from Tua Tagovailoa (Jason Sanders kick),0,7
2.0,14:13,Falcons,Younghoe Koo 33 yard field goal,3,7
,4:47,Falcons,Calvin Ridley 5 yard pass from Matt Ryan (Younghoe Koo kick),10,7
,0:04,Falcons,Younghoe Koo 36 yard field goal,13,7
3.0,13:53,Falcons,Russell Gage 49 yard pass from Matt Ryan (Younghoe Koo kick),20,7
,5:15,Dolphins,Mike Gesicki 6 yard pass from Tua Tagovailoa (Jason Sanders kick),20,14
4.0,12:51,Falcons,Cordarrelle Patterson 3 yard rush (Younghoe Koo kick),27,14
,8:29,Dolphins,Myles Gaskin 7 yard pass from Tua Tagovailoa (Jason Sanders kick),27,21
,2:27,Dolphins,Mack Hollins 4 yard pass from Tua Tagovailoa (Jason Sanders kick),27,28
,0:00,Falcons,Younghoe Koo 36 yard field goal,30,28
