Unnamed: 0,PIT,NWE
First Downs,19,19
Rush-Yds-TDs,34-161-1,20-122-1
Cmp-Att-Yd-TD-INT,17-33-179-2-1,19-39-169-0-2
Sacked-Yards,1-7,5-24
Net Pass Yards,172,145
Total Yards,333,267
Fumbles-Lost,2-0,3-3
Turnovers,1,5
Penalties-Yards,8-88,6-45
Third Down Conv.,8-16,1-13
Fourth Down Conv.,0-0,2-2
Time of Possession,35:05,24:55
