Unnamed: 0,TEN,JAX
First Downs,20,13
Rush-Yds-TDs,40-175-2,18-75-0
Cmp-Att-Yd-TD-INT,14-22-123-1-0,18-36-157-1-1
Sacked-Yards,0-0,4-18
Net Pass Yards,123,139
Total Yards,298,214
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,4-30,8-51
Third Down Conv.,4-11,0-11
Fourth Down Conv.,0-0,2-3
Time of Possession,35:39,24:21
