Quarter,Time,Down,ToGo,Location,TEN,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Danny Boyd kicks off 60 yards, returned by John Simon for 29 yards (tackle by Kiwaukee Thomas)",0.000,1.530
1,14:51,1,10,TEN 39,0,0,Eddie George left tackle for 4 yards (tackle by Marco Coleman),1.530,1.530
1,14:10,2,6,TEN 43,0,0,Steve McNair pass incomplete intended for Drew Bennett (defended by Fernando Bryant),1.530,0.830
1,14:06,3,6,TEN 43,0,0,Steve McNair left end for 5 yards (tackle by Akin Ayodele and Danny Clark),0.830,-0.190
1,13:40,4,1,TEN 48,0,0,"Craig Hentrich punts 38 yards, fair catch by Bobby Shaw",-0.190,0.280
1,13:33,1,10,JAX 14,0,0,Mark Brunell pass complete to Fred Taylor for 5 yards (tackle by Lance Schulters),-0.280,-0.040
1,12:54,2,5,JAX 19,0,0,"Fred Taylor right end for 10 yards (tackle by Albert Haynesworth). Penalty on Kyle Brady: Illegal Motion, 5 yards (no play)",-0.040,-0.750
1,12:29,2,10,JAX 14,0,0,Mark Brunell sacked by Carlos Hall and Albert Haynesworth for -5 yards,-0.750,-2.010
1,12:01,3,15,JAX 9,0,0,Fred Taylor middle for 6 yards (tackle by Albert Haynesworth),-2.010,-2.440
1,11:31,4,9,JAX 15,0,0,"Chris Hanson punts 51 yards, out of bounds",-2.440,-1.200
1,11:20,1,10,TEN 34,0,0,Eddie George left tackle for 6 yards (tackle by Akin Ayodele),1.200,1.470
1,10:42,2,4,TEN 40,0,0,Steve McNair pass complete to Greg Comella for 5 yards (tackle by Akin Ayodele),1.470,1.930
1,10:01,1,10,TEN 45,0,0,Steve McNair pass incomplete intended for Derrick Mason (defended by Jason Craft),1.930,1.380
1,9:53,2,10,TEN 45,0,0,Eddie George right tackle for 3 yards (tackle by Marcus Stroud),1.380,1.090
1,9:12,3,7,TEN 48,0,0,Steve McNair right end for 9 yards (tackle by Eric Westmoreland),1.090,2.720
1,8:34,1,10,JAX 43,0,0,"Penalty on Steve McNair: Delay of Game, 5 yards (no play)",2.720,2.390
1,8:15,1,15,JAX 48,0,0,"Eddie George middle for no gain (tackle by Paul Spicer). Penalty on Larry Smith: Defensive Offside, 5 yards (no play)",2.390,2.720
1,7:48,1,10,JAX 43,0,0,Steve McNair pass complete to Derrick Mason for 11 yards,2.720,3.450
1,7:18,1,10,JAX 32,0,0,Eddie George left tackle for 5 yards (tackle by Akin Ayodele),3.450,3.580
1,6:39,2,5,JAX 27,0,0,Steve McNair pass complete to Derrick Mason for 12 yards (tackle by Jason Craft),3.580,4.580
1,5:59,1,10,JAX 15,0,0,Eddie George left tackle for 3 yards (tackle by John Henderson),4.580,4.450
1,5:21,2,7,JAX 12,0,0,Steve McNair pass complete to Derrick Mason for 7 yards (tackle by Fernando Bryant),4.450,6.060
1,4:39,1,5,JAX 5,0,0,Eddie George middle for 1 yard (tackle by Paul Spicer),6.060,5.340
1,3:59,2,4,JAX 4,6,0,"Eddie George left end for 4 yards, touchdown",5.340,7.000
1,3:59,,,JAX 4,7,0,Joe Nedney kicks extra point good,0.000,0.000
1,3:59,,,TEN 30,7,0,"Joe Nedney kicks off 65 yards, returned by Stacey Mack for 54 yards (tackle by Tony Beckham)",0.000,2.850
1,3:40,1,10,TEN 41,7,0,Fred Taylor middle for 6 yards (tackle by Randall Godfrey),2.850,3.120
1,3:06,2,4,TEN 35,7,0,Fred Taylor middle for 5 yards (tackle by Peter Sirmon),3.120,3.580
1,2:27,1,10,TEN 30,7,0,Mark Brunell pass complete to Pete Mitchell for 16 yards (tackle by Randall Godfrey),3.580,4.650
1,1:52,1,10,TEN 30,,,Timeout #1 by Jacksonville Jaguars,3.580,4.650
1,1:52,1,10,TEN 14,7,0,Mark Brunell pass complete to Bobby Shaw for 6 yards (tackle by Lance Schulters),4.650,5.090
1,1:04,2,4,TEN 8,7,0,Stacey Mack middle for -2 yards (tackle by Albert Haynesworth),5.090,3.820
1,0:18,3,6,TEN 10,7,0,"Penalty on Todd Fordham: False Start, 5 yards (no play)",3.820,3.060
Quarter,Time,Down,ToGo,Location,TEN,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,11,TEN 15,7,0,Mark Brunell pass complete to Stacey Mack for 9 yards (tackle by Samari Rolle),3.060,3.010
2,14:24,4,2,TEN 6,7,3,Danny Boyd 24 yard field goal good,3.010,3.000
2,14:24,,,JAX 30,7,3,"Danny Boyd kicks off 56 yards, returned by Justin McCareins for 16 yards (tackle by Joe Tuipala)",0.000,0.940
2,14:16,1,10,TEN 30,7,3,Steve McNair middle for 14 yards (tackle by Rob Meier),0.940,1.860
2,13:30,1,10,TEN 44,7,3,Steve McNair middle for 26 yards (tackle by Marlon McCree),1.860,3.580
2,12:44,1,10,JAX 30,7,3,Robert Holcombe middle for 6 yards (tackle by Danny Clark),3.580,3.840
2,12:05,2,4,JAX 24,7,3,Robert Holcombe left tackle for 3 yards (tackle by Wali Rainer),3.840,3.530
2,11:23,3,1,JAX 21,7,3,Steve McNair pass complete to Derrick Mason for 10 yards (tackle by Marlon McCree),3.530,4.840
2,10:38,1,10,JAX 11,7,3,Eddie George right end for 5 yards (tackle by Donovin Darius),4.840,5.080
2,9:54,2,5,JAX 6,7,3,Steve McNair pass incomplete intended for Erron Kinney,5.080,4.210
2,9:46,3,5,JAX 6,7,3,"Steve McNair pass incomplete intended for Justin McCareins. Penalty on Danny Clark: Defensive Pass Interference, 2 yards (no play)",4.210,6.280
2,9:42,1,4,JAX 4,7,3,Eddie George right tackle for 3 yards (tackle by Wali Rainer),6.280,5.910
2,9:16,2,1,JAX 1,7,3,Steve McNair for no gain (tackle by Donovin Darius),5.910,5.170
2,8:33,2,1,JAX 1,,,Timeout #1 by Tennessee Titans,5.910,5.170
2,8:33,3,1,JAX 1,13,3,"Eddie George middle for 1 yard, touchdown",5.170,7.000
2,8:33,,,JAX 1,14,3,Joe Nedney kicks extra point good,0.000,0.000
2,8:33,,,TEN 30,14,3,"Joe Nedney kicks onside 13 yards, recovered by Donald Mitchell (onside kick successful)",0.000,1.800
2,8:28,1,10,TEN 43,14,3,Steve McNair pass incomplete intended for Justin McCareins (defended by Fernando Bryant),1.800,1.250
2,8:23,2,10,TEN 43,14,3,Eddie George right tackle for 2 yards (tackle by T.J. Slaughter),1.250,0.830
2,7:44,3,8,TEN 45,14,3,Steve McNair pass complete to Derrick Mason for 11 yards (tackle by Danny Clark),0.830,2.650
2,7:07,1,10,JAX 44,14,3,Eddie George middle for 4 yards (tackle by Marlon McCree),2.650,2.650
2,6:31,2,6,JAX 40,14,3,Steve McNair pass complete to Greg Comella for 7 yards (tackle by Jason Craft),2.650,3.380
2,5:47,1,10,JAX 33,14,3,Steve McNair middle for 1 yard (tackle by Danny Clark),3.380,2.970
2,5:07,2,9,JAX 32,14,3,Steve McNair pass incomplete intended for Frank Wycheck,2.970,2.280
2,5:02,3,9,JAX 32,14,3,Robert Holcombe middle for 4 yards (tackle by Eric Westmoreland),2.280,1.630
2,4:26,4,5,JAX 28,14,3,Joe Nedney 46 yard field goal no good,1.630,-1.330
2,4:20,1,10,JAX 36,14,3,Mark Brunell pass complete to Jimmy Smith for 3 yards (tackle by Samari Rolle),1.330,1.200
2,3:50,2,7,JAX 39,14,3,Stacey Mack middle for 1 yard (tackle by Carlos Hall),1.200,0.630
2,3:12,3,6,JAX 40,14,3,Mark Brunell pass incomplete,0.630,-0.720
2,3:05,4,6,JAX 40,14,3,"Chris Hanson punts 34 yards, returned by John Simon for 10 yards (tackle by Eric Westmoreland)",-0.720,-1.330
2,2:54,1,10,TEN 36,14,3,"Eddie George right tackle for 8 yards (tackle by Donovin Darius). Penalty on Benji Olson: Offensive Holding, 10 yards (no play)",1.330,0.670
2,2:33,1,20,TEN 26,14,3,Eddie George middle for 4 yards (tackle by Larry Smith),0.670,-0.020
2,2:00,2,16,TEN 30,14,3,Robert Holcombe right tackle for 2 yards (tackle by Danny Clark),-0.020,-0.430
2,1:52,2,16,TEN 30,,,Timeout #2 by Jacksonville Jaguars,-0.020,-0.430
2,1:52,3,14,TEN 32,14,3,Steve McNair for 4 yards (tackle by Marcus Stroud),-0.430,-0.980
2,1:44,4,10,TEN 36,14,3,"Craig Hentrich punts 44 yards, returned by Bobby Shaw for 4 yards (tackle by Peter Sirmon)",-0.980,-0.540
2,1:35,1,10,JAX 24,14,3,Mark Brunell pass complete to Bobby Shaw for 25 yards (tackle by Tank Williams),0.540,2.190
2,1:09,1,10,JAX 49,14,3,Mark Brunell pass incomplete,2.190,1.650
2,1:02,2,10,JAX 49,14,3,Mark Brunell pass complete to Kyle Brady for 11 yards (tackle by Keith Bulluck),1.650,2.920
2,1:02,1,10,TEN 40,14,3,Mark Brunell pass incomplete,2.920,2.370
2,0:43,2,10,TEN 40,14,3,Mark Brunell sacked by Kevin Carter for -7 yards,2.370,0.760
2,0:21,3,17,TEN 47,14,3,Mark Brunell pass incomplete intended for Elvis Joseph,0.760,0.130
2,0:16,4,17,TEN 47,14,3,Chris Hanson punts 31 yards,0.130,0.140
