Quarter,Time,Down,ToGo,Location,MIN,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"David Akers kicks off 64 yards, returned by Mewelde Moore for 20 yards (tackle by Dexter Wynn)",0.000,0.670
1,14:55,1,10,MIN 26,0,0,Onterrio Smith right tackle for 8 yards (tackle by Nate Wayne),0.670,1.210
1,14:17,2,2,MIN 34,0,0,Daunte Culpepper pass complete to Randy Moss for 4 yards (tackle by Lito Sheppard),1.210,1.470
1,14:05,1,10,MIN 38,0,0,Daunte Culpepper pass complete to Richard Owens for 10 yards (tackle by Brian Dawkins),1.470,2.130
1,13:20,1,10,MIN 48,0,0,Daunte Culpepper pass complete to Randy Moss for 22 yards (tackle by Mark Simoneau),2.130,3.580
1,12:53,1,10,PHI 30,0,0,Onterrio Smith up the middle for 3 yards (tackle by Michael Lewis),3.580,3.440
1,12:10,2,7,PHI 27,0,0,Daunte Culpepper pass complete to Jermaine Wiggins for 3 yards (tackle by Sheldon Brown),3.440,3.140
1,11:30,3,4,PHI 24,0,0,Daunte Culpepper pass incomplete intended for Nate Burleson (defended by Lito Sheppard),3.140,1.940
1,11:25,4,4,PHI 24,3,0,Morten Andersen 42 yard field goal good,1.940,3.000
1,,,,MIN 30,3,0,"Aaron Elling kicks off 56 yards, returned by Reno Mahe for 14 yards (tackle by Raonall Smith)",0.000,0.810
1,11:15,1,10,PHI 28,3,0,Donovan McNabb pass incomplete intended for Brian Westbrook,0.810,0.260
1,11:09,2,10,PHI 28,3,0,Donovan McNabb pass complete to Jon Ritchie for 11 yards (tackle by Brian Williams),0.260,1.530
1,10:45,1,10,PHI 39,3,0,Brian Westbrook left end for 3 yards (tackle by Corey Chavous and Antoine Winfield),1.530,1.390
1,10:03,2,7,PHI 42,3,0,Brian Westbrook left guard for 8 yards (tackle by Corey Chavous),1.390,2.260
1,9:25,1,10,PHI 50,3,0,Donovan McNabb pass complete to Brian Westbrook for 9 yards (tackle by Antoine Winfield),2.260,2.930
1,8:43,2,1,MIN 41,3,0,Brian Westbrook left end for 3 yards (tackle by Kevin Williams),2.930,3.050
1,8:06,1,10,MIN 38,3,0,Donovan McNabb pass incomplete intended for Terrell Owens,3.050,2.510
1,8:01,2,10,MIN 38,3,0,Dorsey Levens right end for 1 yard (tackle by Brian Williams and Dontarrious Thomas),2.510,1.950
1,7:31,3,9,MIN 37,3,0,"Donovan McNabb pass incomplete intended for Freddie Mitchell (defended by Brian Russell). Penalty on Antoine Winfield: Defensive Holding, 5 yards (no play)",1.950,3.450
1,7:21,1,10,MIN 32,3,0,Brian Westbrook right end for 8 yards (tackle by Kevin Williams),3.450,3.980
1,6:35,2,2,MIN 24,3,0,Donovan McNabb pass complete to Brian Westbrook for 13 yards (tackle by Antoine Winfield),3.980,4.840
1,5:51,1,10,MIN 11,3,6,"Donovan McNabb pass complete to L.J. Smith for 11 yards, touchdown",4.840,7.000
1,,,,MIN 2,3,7,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,3,7,"David Akers kicks off 56 yards, returned by Mewelde Moore for 20 yards (tackle by Roderick Hood)",0.000,1.200
1,5:37,1,10,MIN 34,3,7,"Penalty on Mike Rosenthal: False Start, 5 yards (no play)",1.200,0.870
1,5:37,1,15,MIN 29,3,7,Daunte Culpepper pass incomplete intended for Onterrio Smith,0.870,-0.020
1,5:33,2,15,MIN 29,3,7,"Onterrio Smith left tackle for no gain (tackle by Nate Wayne). Penalty on Matt Birk: Offensive Holding, 10 yards (no play)",-0.020,-1.430
1,5:33,2,25,MIN 19,3,7,Onterrio Smith left tackle for 11 yards (tackle by Michael Lewis),-1.430,-0.560
1,4:17,3,14,MIN 30,3,7,"Daunte Culpepper pass complete to Richard Owens for no gain. Penalty on Roderick Hood: Defensive Holding, 5 yards (no play)",-0.560,1.270
1,3:57,1,10,MIN 35,3,7,Daunte Culpepper pass complete to Jermaine Wiggins for 19 yards (tackle by Mark Simoneau),1.270,2.520
1,3:18,1,10,PHI 46,3,7,Onterrio Smith left end for -3 yards (tackle by Hugh Douglas),2.520,1.570
1,2:34,2,13,PHI 49,3,7,Daunte Culpepper pass complete to Jermaine Wiggins for 12 yards (tackle by Mark Simoneau),1.570,2.480
1,1:49,3,1,PHI 37,3,7,Nate Burleson left end for 9 yards (tackle by Sheldon Brown),2.480,3.710
1,1:07,1,10,PHI 28,3,7,Onterrio Smith right tackle for 3 yards (tackle by Nate Wayne),3.710,3.570
1,0:27,2,7,PHI 25,3,7,Daunte Culpepper pass complete to Randy Moss for 11 yards (tackle by Brian Dawkins),3.570,4.650
Quarter,Time,Down,ToGo,Location,MIN,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PHI 14,3,7,Daunte Culpepper for 1 yard (tackle by Jevon Kearse),4.650,4.160
2,14:34,2,9,PHI 13,3,7,Daunte Culpepper pass complete to Onterrio Smith for 11 yards (tackle by Michael Lewis). Penalty on Hugh Douglas: Defensive Offside (Declined),4.160,6.740
2,14:14,1,2,PHI 2,3,7,Onterrio Smith right guard for no gain (tackle by Mark Simoneau),6.740,5.720
2,13:39,2,2,PHI 2,3,7,Onterrio Smith up the middle for no gain (tackle by Mark Simoneau),5.720,4.950
2,12:54,3,2,PHI 2,3,7,Daunte Culpepper up the middle for 1 yard (tackle by Brian Dawkins),4.950,3.550
2,12:10,4,1,PHI 1,6,7,Morten Andersen 19 yard field goal good,3.550,3.000
