Unnamed: 0,MIN,PHI
First Downs,25,19
Rush-Yds-TDs,19-78-0,17-91-1
Cmp-Att-Yd-TD-INT,37-47-343-1-1,19-28-245-2-0
Sacked-Yards,4-11,2-19
Net Pass Yards,332,226
Total Yards,410,317
Fumbles-Lost,3-1,1-1
Turnovers,2,1
Penalties-Yards,10-70,3-25
Third Down Conv.,7-14,3-6
Fourth Down Conv.,2-2,0-0
Time of Possession,37:53,22:07
