Unnamed: 0,PHI,TAM
First Downs,13,23
Rush-Yds-TDs,15-42-0,29-119-0
Cmp-Att-Yd-TD-INT,25-35-250-1-0,22-36-337-3-0
Sacked-Yards,3-16,4-30
Net Pass Yards,234,307
Total Yards,276,426
Fumbles-Lost,2-0,0-0
Turnovers,0,0
Penalties-Yards,6-54,5-25
Third Down Conv.,0-9,6-14
Fourth Down Conv.,0-2,1-2
Time of Possession,25:57,34:03
