Quarter,Time,Tm,Detail,PHI,TAM
1.0,10:02,Buccaneers,Chase McLaughlin 28 yard field goal,0,3
,5:47,Buccaneers,David Moore 44 yard pass from Baker Mayfield (Chase McLaughlin kick),0,10
2.0,14:03,Buccaneers,Chase McLaughlin 54 yard field goal,0,13
,11:31,Eagles,Jake Elliott 47 yard field goal,3,13
,5:35,Buccaneers,Chase McLaughlin 48 yard field goal,3,16
,3:06,Eagles,Dallas Goedert 5 yard pass from Jalen Hurts (run failed),9,16
3.0,2:18,Buccaneers,"Safety, Jalen Hurts intentional grounding in end zone",9,18
,1:19,Buccaneers,Trey Palmer 56 yard pass from Baker Mayfield (Chase McLaughlin kick),9,25
4.0,5:42,Buccaneers,Chris Godwin 23 yard pass from Baker Mayfield (Chase McLaughlin kick),9,32
