Quarter,Time,Tm,Detail,NOR,CHI
1.0,7:36,Bears,Paul Edinger 31 yard field goal,0,3
,2:47,Bears,Dez White 10 yard pass from Jim Miller (Paul Edinger kick),0,10
2.0,13:35,Bears,Marty Booker 22 yard pass from Jim Miller (Paul Edinger kick),0,17
,11:47,Bears,Paul Edinger 25 yard field goal,0,20
,7:21,Saints,Jerome Pathon 16 yard pass from Aaron Brooks (John Carney kick),7,20
,6:23,Saints,Aaron Brooks 7 yard rush (John Carney kick),14,20
3.0,8:15,Saints,Joe Horn 5 yard pass from Aaron Brooks (John Carney kick),21,20
4.0,8:43,Bears,Paul Edinger 25 yard field goal,21,23
,1:11,Saints,Donte' Stallworth 29 yard pass from Aaron Brooks (Aaron Brooks run),29,23
