Unnamed: 0,NOR,CHI
First Downs,18,21
Rush-Yds-TDs,24-73-1,30-125-0
Cmp-Att-Yd-TD-INT,22-34-233-3-1,26-40-236-2-1
Sacked-Yards,1-4,1-8
Net Pass Yards,229,228
Total Yards,302,353
Fumbles-Lost,3-2,2-1
Turnovers,3,2
Penalties-Yards,10-91,7-49
Third Down Conv.,4-12,6-15
Fourth Down Conv.,0-0,1-1
Time of Possession,26:01,33:59
