Unnamed: 0,SEA,PHI
First Downs,16,17
Rush-Yds-TDs,29-135-2,29-144-2
Cmp-Att-Yd-TD-INT,19-34-187-2-1,19-42-220-1-4
Sacked-Yards,2-11,1-1
Net Pass Yards,176,219
Total Yards,311,363
Fumbles-Lost,2-1,0-0
Turnovers,2,4
Penalties-Yards,2-25,0-0
Third Down Conv.,6-15,7-19
Fourth Down Conv.,0-1,0-2
Time of Possession,29:32,30:28
