Quarter,Time,Down,ToGo,Location,SEA,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,SEA 30,0,0,"Josh Brown kicks off 63 yards, returned by J.R. Reed for 31 yards (tackle by Brian Russell)",0.000,1.470
1,14:53,1,10,PHI 38,0,0,A.J. Feeley pass incomplete short middle intended for L.J. Smith is intercepted by Lofa Tatupu at SEA-49 and returned for 33 yards,1.470,-4.370
1,14:39,1,10,PHI 18,0,0,Matt Hasselbeck pass incomplete short right intended for Deion Branch (defended by Omar Gaither),4.370,3.800
1,14:38,2,10,PHI 18,0,0,Shaun Alexander right end for 16 yards (tackle by Omar Gaither),3.800,6.740
1,13:57,1,2,PHI 2,0,0,Matt Hasselbeck pass incomplete short right intended for Tom Ashworth,6.740,5.720
1,13:53,2,2,PHI 2,6,0,"Shaun Alexander left end for 2 yards, touchdown",5.720,7.000
1,13:53,,,PHI 2,7,0,Josh Brown kicks extra point good,0.000,0.000
1,13:53,,,SEA 30,7,0,"Josh Brown kicks off 64 yards, returned by Correll Buckhalter for 29 yards (tackle by Niko Koutouvides)",0.000,1.270
1,13:40,1,10,PHI 35,7,0,A.J. Feeley pass incomplete deep right intended for L.J. Smith,1.270,0.720
1,13:35,2,10,PHI 35,7,0,Brian Westbrook up the middle for 3 yards (tackle by Brandon Mebane),0.720,0.430
1,13:01,3,7,PHI 38,7,0,A.J. Feeley pass complete deep right to Reggie Brown for 17 yards,0.430,2.590
1,12:39,1,10,SEA 45,7,0,Brian Westbrook right tackle for 15 yards (tackle by Brian Russell),2.590,3.580
1,12:04,1,10,SEA 30,7,6,"Correll Buckhalter up the middle for 30 yards, touchdown",3.580,7.000
1,12:04,,,SEA 2,7,7,David Akers kicks extra point good,0.000,0.000
1,12:04,,,PHI 30,7,7,"David Akers kicks off 66 yards, returned by Josh Wilson for 17 yards (tackle by Reno Mahe)",0.000,0.340
1,11:51,1,10,SEA 21,7,7,Matt Hasselbeck pass complete short left to Leonard Weaver for 5 yards (tackle by Chris Gocong),0.340,0.480
1,11:27,2,5,SEA 26,7,7,Matt Hasselbeck pass complete short middle to Deion Branch for 4 yards (tackle by Takeo Spikes),0.480,0.300
1,10:47,3,1,SEA 30,7,7,"Matt Hasselbeck sacked by Trent Cole and Mike Patterson for -6 yards. Matt Hasselbeck fumbles (forced by Trent Cole), recovered by Sean Locklear at SEA-19",0.300,-2.140
1,10:02,4,12,SEA 19,7,7,"Ryan Plackemeier punts 32 yards, returned by Reno Mahe for no gain",-2.140,-2.190
1,9:56,1,10,PHI 49,7,7,Brian Westbrook up the middle for -2 yards (tackle by Lofa Tatupu),2.190,1.380
1,9:23,2,12,PHI 47,7,7,A.J. Feeley pass complete short right to Brian Westbrook for 6 yards (tackle by Marcus Trufant),1.380,1.490
1,8:55,3,6,SEA 47,7,7,A.J. Feeley pass incomplete short right intended for Greg Lewis is intercepted by Lofa Tatupu at SEA-43 and returned for 49 yards,1.490,-5.370
1,8:44,1,8,PHI 8,7,7,Matt Hasselbeck pass complete short right to Leonard Weaver for -2 yards (tackle by J.R. Reed),5.370,4.190
1,8:09,2,10,PHI 10,7,7,Shaun Alexander up the middle for -2 yards (tackle by Trent Cole),4.190,3.100
1,7:25,3,12,PHI 12,13,7,"Matt Hasselbeck pass complete short middle to Bobby Engram for 12 yards, touchdown",3.100,7.000
1,7:25,,,PHI 2,14,7,Josh Brown kicks extra point good,0.000,0.000
1,7:25,,,SEA 30,14,7,"Josh Brown kicks off 55 yards, returned by Reno Mahe for 19 yards (tackle by Courtney Taylor)",0.000,1.200
1,7:15,1,10,PHI 34,14,7,Brian Westbrook up the middle for 5 yards (tackle by Brian Russell),1.200,1.330
1,6:44,2,5,PHI 39,14,7,A.J. Feeley pass incomplete deep left intended for Greg Lewis (defended by Marcus Trufant),1.330,0.630
1,6:35,3,5,PHI 39,14,7,A.J. Feeley pass complete deep left to Kevin Curtis for 47 yards (tackle by Brian Russell),0.630,4.650
1,6:03,1,10,SEA 14,14,7,Brian Westbrook up the middle for 1 yard (tackle by LeRoy Hill),4.650,4.160
1,5:29,2,9,SEA 13,14,7,A.J. Feeley pass incomplete short left intended for Correll Buckhalter,4.160,3.260
1,5:24,3,9,SEA 13,14,7,A.J. Feeley pass incomplete,3.260,2.570
1,5:17,4,9,SEA 13,14,10,David Akers 31 yard field goal good,2.570,3.000
1,5:17,,,PHI 30,14,10,"David Akers kicks off 56 yards, returned by Nate Burleson for 9 yards (tackle by Reno Mahe)",0.000,0.480
1,5:09,1,10,SEA 23,14,10,Matt Hasselbeck pass complete short right to Nate Burleson for 6 yards (tackle by Lito Sheppard),0.480,0.740
1,4:34,2,4,SEA 29,14,10,Shaun Alexander up the middle for 1 yard (tackle by Juqua Thomas),0.740,0.170
1,3:56,3,3,SEA 30,14,10,Matt Hasselbeck pass complete short right to Deion Branch for 6 yards (tackle by Lito Sheppard),0.170,1.330
1,3:22,1,10,SEA 36,14,10,Maurice Morris up the middle for 2 yards (tackle by Omar Gaither),1.330,1.060
1,2:38,2,8,SEA 38,14,10,Maurice Morris right end for 15 yards (tackle by Brian Dawkins). Penalty on Darren Howard: Defensive Offside (Declined),1.060,2.460
1,2:05,1,10,PHI 47,14,10,Leonard Weaver up the middle for 1 yard (tackle by Juqua Thomas),2.460,2.050
1,1:22,2,9,PHI 46,14,10,Shaun Alexander left tackle for 2 yards (tackle by Takeo Spikes),2.050,1.620
1,0:44,3,7,PHI 44,14,10,Matt Hasselbeck pass complete short right to Nate Burleson for 8 yards (tackle by Lito Sheppard),1.620,3.180
Quarter,Time,Down,ToGo,Location,SEA,PHI,Detail,EPB,EPA
