Quarter,Time,Tm,Detail,SFO,MIN
1.0,9:53,Vikings,Randy Moss 15 yard pass from Gus Frerotte (Aaron Elling kick),0,7
,2:46,Vikings,Onterrio Smith 5 yard rush (Aaron Elling kick),0,14
2.0,4:39,Vikings,Randy Moss 35 yard pass from Gus Frerotte (Aaron Elling kick),0,21
,0:56,Vikings,Nate Burleson 22 yard pass from Gus Frerotte (Aaron Elling kick),0,28
4.0,14:52,Vikings,Randy Moss 59 yard pass from Gus Frerotte (Aaron Elling kick),0,35
,7:37,49ers,Tai Streets 37 yard pass from Tim Rattay (Owen Pochman kick),7,35
