Unnamed: 0,SFO,MIN
First Downs,18,19
Rush-Yds-TDs,25-145-0,30-102-1
Cmp-Att-Yd-TD-INT,23-41-254-1-3,16-21-267-4-0
Sacked-Yards,4-27,2-15
Net Pass Yards,227,252
Total Yards,372,354
Fumbles-Lost,1-0,0-0
Turnovers,3,0
Penalties-Yards,9-55,4-29
Third Down Conv.,6-15,5-10
Fourth Down Conv.,1-4,0-0
Time of Possession,30:58,29:02
