Quarter,Time,Down,ToGo,Location,SFO,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,SFO 30,0,0,"Owen Pochman kicks off 60 yards, returned by John Avery for 18 yards (tackle by Saleem Rasheed)",0.000,0.810
1,14:55,1,10,MIN 28,0,0,Moe Williams left guard for 3 yards (tackle by John Engelberger),0.810,0.670
1,14:24,2,7,MIN 31,0,0,Moe Williams left guard for 7 yards (tackle by Julian Peterson and Tony Parrish),0.670,1.470
1,13:42,1,10,MIN 38,0,0,Moe Williams up the middle for 3 yards (tackle by Bryant Young and Jeff Ulbrich),1.470,1.330
1,13:05,2,7,MIN 41,0,0,Gus Frerotte pass complete to Randy Moss for 22 yards (tackle by Zack Bronson),1.330,3.120
1,12:43,1,10,SFO 37,0,0,John Avery left end for no gain (tackle by Travis Kirschke),3.120,2.570
1,12:05,2,10,SFO 37,0,0,Onterrio Smith left guard for 2 yards (tackle by John Engelberger and Travis Kirschke),2.570,2.150
1,11:24,3,8,SFO 35,0,0,Gus Frerotte pass complete to Jim Kleinsasser for 17 yards (tackle by Jamie Winborn),2.150,4.370
1,10:40,1,10,SFO 18,0,0,Gus Frerotte pass complete to Moe Williams for 3 yards (tackle by Mike Rumph),4.370,4.250
1,9:58,2,7,SFO 15,0,6,"Gus Frerotte pass complete to Randy Moss for 15 yards, touchdown",4.250,7.000
1,,,,SFO 2,0,7,Aaron Elling kicks extra point good,0.000,0.000
1,,,,MIN 30,0,7,"Aaron Elling kicks off 63 yards, returned by Cedrick Wilson for 28 yards (tackle by Nick Rogers)",0.000,1.270
1,9:47,1,10,SFO 35,0,7,"Garrison Hearst right guard for no gain. Penalty on Jed Weaver: False Start, 5 yards (no play)",1.270,0.940
1,9:47,1,15,SFO 30,0,7,Garrison Hearst right tackle for 8 yards (tackle by Denard Walker),0.940,1.130
1,9:47,2,7,SFO 38,0,7,"Penalty on Kenny Mixon: Neutral Zone Infraction, 5 yards (no play)",1.130,1.800
1,8:53,2,2,SFO 43,0,7,Garrison Hearst up the middle for 4 yards (tackle by Kenny Mixon),1.800,2.060
1,8:15,1,10,SFO 47,0,7,Jeff Garcia pass complete to Garrison Hearst for 7 yards (tackle by Greg Biekert),2.060,2.460
1,7:37,2,3,MIN 46,0,7,Garrison Hearst left guard for 4 yards (tackle by Corey Chavous and Greg Biekert),2.460,2.790
1,6:53,1,10,MIN 42,0,7,Jeff Garcia pass incomplete intended for Cedrick Wilson is intercepted by Corey Chavous at MIN-23 and returned for 39 yards (tackle by Jed Weaver),2.790,-3.050
1,6:38,1,10,SFO 38,0,7,Gus Frerotte pass incomplete intended for Moe Williams,3.050,2.510
1,6:34,2,10,SFO 38,0,7,Onterrio Smith up the middle for 6 yards (tackle by Derek Smith and Julian Peterson),2.510,2.610
1,5:57,3,4,SFO 32,0,7,Moe Williams left guard for 4 yards (tackle by Jamie Winborn),2.610,3.710
1,5:15,1,10,SFO 28,0,7,Onterrio Smith up the middle for 11 yards (tackle by Zack Bronson),3.710,4.440
1,4:48,1,10,SFO 17,0,7,Moe Williams left guard for 6 yards (tackle by John Engelberger),4.440,4.890
1,4:08,2,4,SFO 11,0,7,Doug Chapman up the middle for 2 yards (tackle by Travis Kirschke and Jamie Winborn),4.890,4.570
1,3:27,3,2,SFO 9,0,7,Moe Williams up the middle for 4 yards (tackle by Andre Carter),4.570,6.060
1,2:51,1,5,SFO 5,0,13,"Onterrio Smith up the middle for 5 yards, touchdown",6.060,7.000
1,,,,SFO 2,0,14,Aaron Elling kicks extra point good,0.000,0.000
1,,,,MIN 30,0,14,"Aaron Elling kicks off 62 yards, returned by Cedrick Wilson for 15 yards (tackle by Ken Irvin). Penalty on Raonall Smith: Offside on Free Kick (Offsetting), Penalty on Saleem Rasheed: Offensive Holding (Offsetting) (no play)",0.000,0.000
1,,,,MIN 30,0,14,"Aaron Elling kicks off 59 yards, returned by Cedrick Wilson for 12 yards (tackle by Brian Williams)",0.000,0.480
1,2:36,1,10,SFO 23,0,14,Kevan Barlow right tackle for no gain (tackle by Henri Crockett),0.480,-0.070
1,2:02,2,10,SFO 23,0,14,Kevan Barlow right guard for 24 yards (tackle by Brian Williams and Denard Walker),-0.070,2.060
1,1:23,1,10,SFO 47,0,14,Kevan Barlow up the middle for 1 yard (tackle by Fred Robbins),2.060,1.650
1,0:45,2,9,SFO 48,0,14,Jeff Garcia pass incomplete intended for Terrell Owens,1.650,0.960
1,0:39,3,9,SFO 48,0,14,Jeff Garcia pass incomplete intended for Terrell Owens (defended by Ken Irvin),0.960,-0.190
1,0:34,4,9,SFO 48,0,14,"Bill LaFleur punts 31 yards, returned by Keenan Howry for 5 yards (tackle by Jeff Ulbrich)",-0.190,-0.670
1,0:25,1,10,MIN 26,0,14,"Penalty on Mike Rosenthal: False Start, 5 yards (no play)",0.670,0.340
1,0:25,1,15,MIN 21,0,14,Moe Williams up the middle for 1 yard (tackle by Derek Smith and Julian Peterson),0.340,-0.410
Quarter,Time,Down,ToGo,Location,SFO,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,14,MIN 22,0,14,Gus Frerotte pass complete to Onterrio Smith for 1 yard (tackle by Derek Smith),-0.410,-0.960
2,14:16,3,13,MIN 23,0,14,Gus Frerotte pass incomplete intended for Nate Burleson,-0.960,-1.830
2,14:08,4,13,MIN 23,0,14,"Eddie Johnson punts 37 yards, fair catch by Jimmy Williams",-1.830,-1.600
