Unnamed: 0,CAR,NOR
First Downs,16,19
Rush-Yds-TDs,23-112-1,28-148-3
Cmp-Att-Yd-TD-INT,17-28-183-2-0,25-34-269-1-0
Sacked-Yards,2-16,2-17
Net Pass Yards,167,252
Total Yards,279,400
Fumbles-Lost,3-1,1-1
Turnovers,1,1
Penalties-Yards,6-54,7-68
Third Down Conv.,3-10,6-15
Fourth Down Conv.,0-2,1-1
Time of Possession,26:39,33:21
