Quarter,Time,Tm,Detail,MIN,CIN
1,8:41,Bengals,Evan McPherson 34 yard field goal,0,3
,2:23,Vikings,Ty Chandler 1 yard rush (Greg Joseph kick),7,3
3,10:46,Vikings,Jordan Addison 37 yard pass from Nick Mullens (Greg Joseph kick),14,3
,4:32,Vikings,Greg Joseph 39 yard field goal,17,3
4,14:56,Bengals,Tee Higgins 13 yard pass from Jake Browning (Evan McPherson kick),17,10
,7:46,Bengals,Joe Mixon 1 yard rush (Evan McPherson kick),17,17
,3:48,Vikings,Jordan Addison 1 yard pass from Nick Mullens (Greg Joseph kick),24,17
,0:39,Bengals,Tee Higgins 21 yard pass from Jake Browning (Evan McPherson kick),24,24
OT,3:11,Bengals,Evan McPherson 29 yard field goal,24,27
