Quarter,Time,Down,ToGo,Location,MIN,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CIN 25,0,0,Jake Browning pass incomplete deep right intended for Tee Higgins,0.610,0.060
1,14:56,2,10,CIN 25,0,0,Jake Browning pass complete short left to Chase Brown for 13 yards (tackle by D.J. Wonnum),0.060,1.470
1,14:15,1,10,CIN 38,0,0,Chase Brown right end for -1 yards (tackle by Danielle Hunter),1.470,0.790
1,13:45,2,11,CIN 37,0,0,Jake Browning pass complete short right to Mitchell Wilcox for 10 yards (tackle by Akayleb Evans and Danielle Hunter),0.790,1.420
1,13:06,3,1,CIN 47,0,0,Jake Browning up the middle for 3 yards (tackle by Harrison Phillips and Danielle Hunter),1.420,2.260
1,12:25,1,10,CIN 50,0,0,Jake Browning pass complete short left to Irv Smith for 4 yards (tackle by Camryn Bynum),2.260,2.250
1,11:42,2,6,MIN 46,0,0,Jake Browning pass complete deep right to Ja'Marr Chase for 25 yards (tackle by Akayleb Evans),2.250,4.170
1,10:59,,,,,,Timeout #1 by Cincinnati Bengals,,
1,10:59,1,10,MIN 21,0,0,Joe Mixon up the middle for 4 yards (tackle by Akayleb Evans),4.170,4.200
1,10:20,2,6,MIN 17,0,0,Jake Browning pass complete short left to Tanner Hudson for 5 yards (tackle by Byron Murphy),4.200,4.490
1,9:29,3,1,MIN 12,0,0,Tanner Hudson sacked by Danielle Hunter for -4 yards,4.490,2.430
1,8:45,4,5,MIN 16,0,3,Evan McPherson 34 yard field goal good,2.430,3.000
1,8:41,,,CIN 35,0,3,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
1,8:41,1,10,MIN 25,0,3,Ty Chandler left guard for 9 yards (tackle by Germaine Pratt),0.610,1.280
1,8:04,2,1,MIN 34,0,3,Ty Chandler right guard for no gain (tackle by Sam Hubbard),1.280,0.560
1,7:37,3,1,MIN 34,0,3,Nick Mullens up the middle for 2 yards (tackle by B.J. Hill and Akeem Davis-Gaither),0.560,1.330
1,6:57,1,10,MIN 36,0,3,Nick Mullens pass complete deep right to Justin Jefferson for 17 yards (tackle by Germaine Pratt),1.330,2.460
1,6:18,1,10,CIN 47,0,3,Ty Chandler right guard for 7 yards (tackle by Daxton Hill),2.460,2.860
1,5:55,2,3,CIN 40,0,3,Ty Chandler right tackle for 4 yards (tackle by Cameron Sample and Germaine Pratt),2.860,3.180
1,5:19,1,10,CIN 36,0,3,Nick Mullens pass complete short right to T.J. Hockenson for 9 yards (tackle by Cameron Sample and Germaine Pratt),3.180,3.850
1,4:54,2,1,CIN 27,0,3,Nick Mullens up the middle for 1 yard (tackle by B.J. Hill),3.850,3.840
1,4:11,1,10,CIN 26,0,3,Ty Chandler left guard for 8 yards (tackle by Logan Wilson and Germaine Pratt),3.840,4.450
1,3:33,2,2,CIN 18,0,3,Ty Chandler left tackle for 1 yard (tackle by Mike Hilton),4.450,3.950
1,2:56,3,1,CIN 17,0,3,Nick Mullens pass complete short right to Ty Chandler for 16 yards (tackle by Germaine Pratt),3.950,6.970
1,2:27,1,1,CIN 1,6,3,"Ty Chandler right tackle for 1 yard, touchdown",6.970,7.000
1,2:23,,,CIN 15,7,3,Greg Joseph kicks extra point good,0.000,0.000
1,2:23,,,MIN 35,7,3,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
1,2:23,1,10,CIN 25,7,3,Jake Browning pass incomplete short left intended for Tyler Boyd,0.610,0.060
1,2:19,2,10,CIN 25,7,3,Joe Mixon right guard for 8 yards (tackle by Harrison Smith and Troy Dye),0.060,0.430
1,1:33,3,2,CIN 33,7,3,Jake Browning pass incomplete short middle intended for Tee Higgins (defended by D.J. Wonnum),0.430,-1.180
1,1:30,4,2,CIN 33,7,3,"Brad Robbins punts 51 yards, returned by Brandon Powell for 3 yards (tackle by DJ Ivey)",-1.180,-0.150
1,1:22,1,10,MIN 19,7,3,Ty Chandler left end for 3 yards (tackle by Myles Murphy),0.150,0.070
1,0:44,2,7,MIN 22,7,3,Nick Mullens pass incomplete short left intended for Ty Chandler,0.070,-0.680
1,0:37,3,7,MIN 22,7,3,Nick Mullens sacked by and Germaine Pratt for -9 yards and Trey Hendrickson for -9 yards,-0.680,-2.490
Quarter,Time,Down,ToGo,Location,MIN,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,16,MIN 13,7,3,"Ryan Wright punts 58 yards, returned by Charlie Jones for 10 yards (tackle by Patrick Jones)",-2.490,-1.530
2,14:48,1,10,CIN 39,7,3,Jake Browning pass complete short left to Chase Brown for 9 yards (tackle by Akayleb Evans),1.530,2.200
2,14:13,2,1,CIN 48,7,3,Chase Brown right guard for 1 yard (tackle by Josh Metellus),2.200,2.190
2,13:27,1,10,CIN 49,7,3,Jake Browning pass complete short left to Chase Brown for 6 yards (tackle by Ivan Pace),2.190,2.460
2,12:49,2,4,MIN 45,7,3,"Jake Browning pass incomplete short left. Penalty on Chase Brown: Offensive Holding, 10 yards (accepted) (no play)",2.460,1.110
2,12:44,2,14,CIN 45,7,3,Jake Browning pass complete short right to Ja'Marr Chase for -1 yards (tackle by Byron Murphy),1.110,0.300
2,12:01,3,15,CIN 44,7,3,Jake Browning pass incomplete deep middle intended for Charlie Jones,0.300,-0.460
2,11:55,4,15,CIN 44,7,3,"Brad Robbins punts 49 yards, returned by Brandon Powell for 9 yards (tackle by Devin Harper)",-0.460,0.140
2,11:44,1,10,MIN 16,7,3,Kene Nwangwu left guard for 1 yard (tackle by Logan Wilson and Josh Tupou),-0.140,-0.510
2,11:11,2,9,MIN 17,7,3,Nick Mullens pass incomplete short middle intended for Justin Jefferson,-0.510,-1.200
2,11:07,3,9,MIN 17,7,3,"Penalty on Ed Ingram: False Start, 5 yards (accepted) (no play)",-1.200,-1.890
2,11:07,3,14,MIN 12,7,3,Nick Mullens pass complete short middle to T.J. Hockenson for 16 yards (tackle by Jordan Battle and Logan Wilson),-1.890,0.810
2,10:27,1,10,MIN 28,7,3,Nick Mullens pass complete short right to K.J. Osborn for 3 yards (tackle by Logan Wilson),0.810,0.670
2,9:48,2,7,MIN 31,7,3,Nick Mullens pass complete short middle to Josh Oliver for 12 yards (tackle by DJ Turner),0.670,1.800
2,9:06,1,10,MIN 43,7,3,Nick Mullens pass complete deep left to Jordan Addison for 19 yards (tackle by Jordan Battle),1.800,3.050
2,8:23,1,10,CIN 38,7,3,Ty Chandler right end for 8 yards (tackle by B.J. Hill and Daxton Hill),3.050,3.590
2,7:48,2,2,CIN 30,7,3,Nick Mullens pass complete short left to Johnny Mundt for 3 yards (tackle by Daxton Hill),3.590,3.780
2,7:09,1,10,CIN 27,7,3,Justin Jefferson pass incomplete deep middle intended for K.J. Osborn,3.780,3.230
2,7:04,2,10,CIN 27,7,3,Ty Chandler left tackle for 2 yards (tackle by Cameron Sample),3.230,2.810
2,6:20,3,8,CIN 25,7,3,Nick Mullens pass complete short right to T.J. Hockenson for 10 yards (tackle by Nick Scott),2.810,4.580
2,5:35,1,10,CIN 15,7,3,Ty Chandler right guard for -1 yards (tackle by Mike Hilton),4.580,3.810
2,4:58,2,11,CIN 16,7,3,Nick Mullens scrambles right end for 2 yards (tackle by Chidobe Awuzie),3.810,3.240
2,4:14,3,9,CIN 14,7,3,Nick Mullens pass short middle intended for Justin Jefferson is intercepted by Mike Hilton at CIN-1 and returned for 16 yards (tackle by Dalton Risner),3.240,0.060
2,4:06,1,10,CIN 17,7,3,Chase Brown right end for 3 yards (tackle by Patrick Jones),-0.060,-0.060
2,3:27,2,7,CIN 20,7,3,Joe Mixon right guard for 4 yards (tackle by Ivan Pace),-0.060,-0.370
2,2:44,3,3,CIN 24,7,3,Jake Browning pass complete short right to Tanner Hudson for 10 yards (tackle by Harrison Smith and Sheldon Day),-0.370,1.200
2,2:00,1,10,CIN 34,7,3,Jake Browning pass incomplete short right intended for Drew Sample,1.200,0.660
2,1:56,2,10,CIN 34,7,3,Jake Browning sacked by Danielle Hunter for -14 yards,0.660,-1.880
2,1:49,,,,,,Timeout #1 by Minnesota Vikings,,
2,1:49,3,24,CIN 20,7,3,Trayveon Williams up the middle for 10 yards (tackle by Josh Metellus),-1.880,-1.370
2,1:44,,,,,,Timeout #2 by Minnesota Vikings,,
2,1:44,4,14,CIN 30,7,3,"Brad Robbins punts 36 yards, returned by Brandon Powell for no gain",-1.370,-1.200
2,1:37,1,10,MIN 34,7,3,"Nick Mullens pass incomplete short left intended for Justin Jefferson (defended by DJ Turner) Replay Assistant challenged the pass completion ruling, and the original play was overturned. Nick Mullens pass complete short left to Justin Jefferson for 6 yards (tackle by DJ Turner)",1.200,1.470
2,1:33,2,4,MIN 40,7,3,Nick Mullens pass complete deep right to Jordan Addison for 35 yards (tackle by DJ Turner and Jordan Battle),1.470,3.910
2,1:05,1,10,CIN 25,7,3,Nick Mullens pass complete short right to Justin Jefferson for 9 yards (tackle by Chidobe Awuzie and Jordan Battle),3.910,4.750
2,0:38,2,1,CIN 16,7,3,Nick Mullens sacked by Myles Murphy for -6 yards,4.750,3.070
2,0:31,3,7,CIN 22,7,3,Nick Mullens pass short middle is intercepted by B.J. Hill at CIN-30 and returned for no gain (tackle by David Quessenberry),3.070,-0.940
2,0:25,1,10,CIN 30,7,3,Jake Browning sacked by D.J. Wonnum for no gain,0.940,0.390
2,0:17,2,10,CIN 30,7,3,"Jake Browning pass complete deep right to Tee Higgins for 40 yards (tackle by Mekhi Blackmon) Replay Assistant challenged the pass completion ruling, and the original play was overturned. Jake Browning pass incomplete deep right intended for Tee Higgins (defended by Mekhi Blackmon)",0.390,-0.300
2,0:11,,,,,,Timeout #2 by Cincinnati Bengals,,
2,0:11,3,10,CIN 30,7,3,"Chase Brown right tackle for 6 yards. Chase Brown fumbles (forced by Byron Murphy) (tackle by Patrick Jones and Byron Murphy), recovered by Chase Brown at CIN-36",-0.300,-0.980
Quarter,Time,Down,ToGo,Location,MIN,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,7,3,"Evan McPherson kicks off 64 yards, returned by Kene Nwangwu for 14 yards (tackle by Trayveon Williams). Penalty on Brian Asamoah: Defensive Illegal Blindside Block, 7 yards (accepted)",0.000,-0.380
3,14:54,1,10,MIN 8,7,3,Ty Chandler right tackle for 24 yards (tackle by Jordan Battle),-0.380,1.070
3,14:22,1,10,MIN 32,7,3,Ty Chandler right end for 3 yards (tackle by Jordan Battle),1.070,0.930
3,13:43,2,7,MIN 35,7,3,Nick Mullens pass complete short left to Justin Jefferson for 12 yards,0.930,2.060
3,13:04,1,10,MIN 47,7,3,Ty Chandler right tackle for 4 yards (tackle by Josh Tupou and Jordan Battle),2.060,2.060
3,12:17,2,6,CIN 49,7,3,Nick Mullens pass complete short left to Jordan Addison for 10 yards (tackle by DJ Turner),2.060,2.980
3,11:42,1,10,CIN 39,7,3,Nick Mullens pass incomplete short right,2.980,2.440
3,11:39,2,10,CIN 39,7,3,Ty Chandler right tackle for 2 yards (tackle by Myles Murphy and B.J. Hill),2.440,2.020
3,10:54,3,8,CIN 37,13,3,"Nick Mullens pass complete short middle to Jordan Addison for 37 yards, touchdown",2.020,7.000
3,10:46,,,CIN 15,14,3,Greg Joseph kicks extra point good,0.000,0.000
3,10:46,,,MIN 35,14,3,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
3,10:46,1,10,CIN 25,14,3,Joe Mixon left guard for 7 yards (tackle by Camryn Bynum),0.610,1.010
3,10:23,2,3,CIN 32,14,3,Chase Brown right end for 5 yards (tackle by D.J. Wonnum),1.010,1.400
3,9:48,1,10,CIN 37,14,3,Jake Browning pass complete short left to Charlie Jones for 3 yards (tackle by Josh Metellus),1.400,1.260
3,9:16,2,7,CIN 40,14,3,Jake Browning pass deep left intended for Irv Smith is intercepted by Akayleb Evans at MIN-42 and returned for 1 yard (tackle by Irv Smith),1.260,-1.800
3,9:08,1,10,MIN 43,14,3,Ty Chandler left guard for 4 yards (tackle by Zachary Carter and Jordan Battle),1.800,1.790
3,8:26,2,6,MIN 47,14,3,Nick Mullens pass complete short left to Justin Jefferson for 14 yards (tackle by Chidobe Awuzie and Germaine Pratt),1.790,2.980
3,7:47,1,10,CIN 39,14,3,Nick Mullens pass complete short right to Ty Chandler for 5 yards (tackle by Logan Wilson and Josh Tupou),2.980,3.120
3,7:01,2,5,CIN 34,14,3,Nick Mullens pass complete short right to Justin Jefferson for 7 yards (tackle by Chidobe Awuzie),3.120,3.780
3,6:17,1,10,CIN 27,14,3,Ty Chandler right end for 9 yards (tackle by Sam Hubbard),3.780,4.530
3,5:34,2,1,CIN 18,14,3,"Penalty on Christian Darrisaw: False Start, 5 yards (accepted) (no play)",4.530,3.770
3,5:21,2,6,CIN 23,14,3,Nick Mullens pass complete short left to Josh Oliver for 2 yards (tackle by Mike Hilton),3.770,3.340
3,4:39,3,4,CIN 21,14,3,Nick Mullens pass incomplete short right intended for T.J. Hockenson,3.340,2.130
3,4:36,4,4,CIN 21,17,3,Greg Joseph 39 yard field goal good,2.130,3.000
3,4:32,,,MIN 35,17,3,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
3,4:32,1,10,CIN 25,17,3,Chase Brown right end for 6 yards (tackle by Ivan Pace),0.610,0.870
3,3:51,2,4,CIN 31,17,3,Jake Browning pass complete short left to Joe Mixon for 3 yards (tackle by Troy Dye),0.870,0.560
3,3:08,3,1,CIN 34,17,3,Jake Browning pass complete short left to Tanner Hudson for 7 yards (tackle by Camryn Bynum),0.560,1.660
3,2:24,1,10,CIN 41,17,3,Jake Browning pass complete short left to Tanner Hudson for 14 yards (tackle by Byron Murphy),1.660,2.590
3,1:47,1,10,MIN 45,17,3,Jake Browning pass complete short middle to Irv Smith for 14 yards (tackle by Ivan Pace),2.590,3.510
3,1:09,1,10,MIN 31,17,3,Jake Browning pass complete short right to Trayveon Williams for 2 yards (tackle by Byron Murphy),3.510,3.240
3,0:32,2,8,MIN 29,17,3,Jake Browning pass complete short middle to Ja'Marr Chase for 16 yards (tackle by Harrison Smith),3.240,4.710
Quarter,Time,Down,ToGo,Location,MIN,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,MIN 13,17,9,"Jake Browning pass complete short left to Tee Higgins for 13 yards, touchdown",4.710,7.000
4,14:56,,,MIN 15,17,10,Evan McPherson kicks extra point good,0.000,0.000
4,14:56,,,CIN 35,17,10,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
4,14:56,1,10,MIN 25,17,10,Ty Chandler right guard for 2 yards (tackle by Josh Tupou),0.610,0.330
4,14:17,2,8,MIN 27,17,10,Nick Mullens pass incomplete deep left intended for Justin Jefferson (defended by Mike Hilton) (defended by Daxton Hill),0.330,-0.360
4,14:11,3,8,MIN 27,17,10,"Penalty on Christian Darrisaw: False Start, 5 yards (accepted) (no play)",-0.360,-1.020
4,14:11,3,13,MIN 22,17,10,Nick Mullens pass complete short middle to T.J. Hockenson for 8 yards (tackle by Logan Wilson),-1.020,-1.370
4,13:33,4,5,MIN 30,17,10,"Ryan Wright punts 41 yards, returned by Charlie Jones for 8 yards (tackle by Troy Dye)",-1.370,-1.400
4,13:22,1,10,CIN 37,17,10,Jake Browning pass complete short right to Joe Mixon for 7 yards (tackle by Ivan Pace),1.400,1.800
4,12:45,2,3,CIN 44,17,10,Joe Mixon left end for 10 yards (tackle by Camryn Bynum),1.800,2.520
4,12:05,1,10,MIN 46,17,10,Jake Browning pass complete short middle to Tee Higgins for 14 yards (tackle by Camryn Bynum),2.520,3.450
4,11:27,1,10,MIN 32,17,10,Jake Browning pass incomplete short right intended for Tyler Boyd (defended by D.J. Wonnum),3.450,2.900
4,11:24,2,10,MIN 32,17,10,"Jake Browning pass incomplete deep left. Penalty on Jake Browning: Intentional Grounding, 11 yards (accepted)",2.900,0.760
4,11:19,3,21,MIN 43,17,10,Jake Browning pass complete deep middle to Ja'Marr Chase for 24 yards (tackle by Ivan Pace),0.760,4.310
4,10:34,1,10,MIN 19,17,10,Jake Browning pass complete short middle to Mitchell Wilcox for 10 yards (tackle by Camryn Bynum),4.310,5.140
4,9:55,1,9,MIN 9,17,10,Joe Mixon right guard for 6 yards (tackle by D.J. Wonnum and Camryn Bynum),5.140,5.530
4,9:18,2,3,MIN 3,17,10,Joe Mixon up the middle for 2 yards (tackle by Harrison Phillips),5.530,5.170
4,8:36,3,1,MIN 1,17,10,Jake Browning up the middle for no gain (tackle by Sheldon Day and Troy Dye),5.170,3.550
4,7:49,4,1,MIN 1,17,16,"Joe Mixon left guard for 1 yard, touchdown",3.550,7.000
4,7:46,,,MIN 15,17,17,Evan McPherson kicks extra point good,0.000,0.000
4,7:46,,,CIN 35,17,17,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
4,7:46,1,10,MIN 25,17,17,Nick Mullens pass complete deep middle to Justin Jefferson for 19 yards (tackle by Germaine Pratt),0.610,1.860
4,7:09,1,10,MIN 44,17,17,Ty Chandler right end for no gain (tackle by Daxton Hill and Germaine Pratt),1.860,1.320
4,6:29,2,10,MIN 44,17,17,"Nick Mullens pass short right is intercepted by Germaine Pratt at MIN-44 and returned for no gain, touchdown. Penalty on Trey Hendrickson: Defensive Offside, 5 yards (accepted) (no play)",1.320,1.990
4,6:21,2,5,MIN 49,17,17,Ty Chandler left guard for 7 yards (tackle by Sam Hubbard),1.990,2.650
4,5:56,1,10,CIN 44,17,17,Nick Mullens pass complete short right to Jordan Addison for 9 yards (tackle by DJ Turner),2.650,3.330
4,5:22,2,1,CIN 35,17,17,Ty Chandler left tackle for 4 yards (tackle by Jordan Battle and DJ Turner),3.330,3.510
4,4:46,1,10,CIN 31,17,17,Ty Chandler left guard for 30 yards (tackle by Jordan Battle and DJ Turner),3.510,6.970
4,3:57,1,1,CIN 1,23,17,"Nick Mullens pass complete short right to Jordan Addison for 1 yard, touchdown",6.970,7.000
4,3:48,,,CIN 15,24,17,Greg Joseph kicks extra point good,0.000,0.000
4,3:48,,,MIN 35,24,17,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
4,3:48,1,10,CIN 25,24,17,Jake Browning pass complete short middle to Tanner Hudson for 13 yards (tackle by Josh Metellus),0.610,1.470
4,3:16,1,10,CIN 38,24,17,Jake Browning pass complete short right to Joe Mixon for 4 yards (tackle by Harrison Smith),1.470,1.460
4,2:28,2,6,CIN 42,24,17,Jake Browning pass complete short right to Tyler Boyd for 9 yards (tackle by Byron Murphy),1.460,2.320
4,2:22,1,10,MIN 49,24,17,Chase Brown left guard for 3 yards (tackle by Ivan Pace),2.320,2.190
4,2:00,2,7,MIN 46,24,17,Jake Browning pass complete short right to Tee Higgins for 13 yards (tackle by Camryn Bynum),2.190,3.380
