Unnamed: 0,MIN,CIN
First Downs,24,22
Rush-Yds-TDs,30-143-1,22-80-1
Cmp-Att-Yd-TD-INT,26-34-303-2-2,29-42-324-2-1
Sacked-Yards,3-22,5-26
Net Pass Yards,281,298
Total Yards,424,378
Fumbles-Lost,0-0,1-0
Turnovers,2,1
Penalties-Yards,4-22,3-26
Third Down Conv.,5-12,6-13
Fourth Down Conv.,0-1,1-1
Time of Possession,33:41,33:08
