Unnamed: 0,SFO,LAR
First Downs,23,19
Rush-Yds-TDs,31-135-1,27-64-0
Cmp-Att-Yd-TD-INT,24-33-340-2-2,21-32-238-3-2
Sacked-Yards,3-26,5-37
Net Pass Yards,314,201
Total Yards,449,265
Fumbles-Lost,1-0,0-0
Turnovers,2,2
Penalties-Yards,6-56,3-15
Third Down Conv.,9-14,10-17
Fourth Down Conv.,0-0,1-1
Time of Possession,36:44,31:24
