Quarter,Time,Tm,Detail,SFO,LAR
1,6:07,Rams,Matt Gay 43 yard field goal,0,3
2,10:26,Rams,Tyler Higbee 2 yard pass from Matthew Stafford (Matt Gay kick),0,10
,6:44,Rams,Tyler Higbee 15 yard pass from Matthew Stafford (Matt Gay kick),0,17
,0:00,49ers,Robbie Gould 42 yard field goal,3,17
3,10:32,49ers,Deebo Samuel 16 yard rush (Robbie Gould kick),10,17
,1:46,49ers,Jauan Jennings 24 yard pass from Deebo Samuel (Robbie Gould kick),17,17
4,2:29,Rams,Cooper Kupp 4 yard pass from Matthew Stafford (Matt Gay kick),17,24
,0:26,49ers,Jauan Jennings 14 yard pass from Jimmy Garoppolo (Robbie Gould kick),24,24
OT,2:45,49ers,Robbie Gould 24 yard field goal,27,24
