Unnamed: 0,ARI,LAR
First Downs,10,28
Rush-Yds-TDs,12-25-0,40-197-2
Cmp-Att-Yd-TD-INT,15-32-188-0-2,22-37-235-1-1
Sacked-Yards,3-17,1-7
Net Pass Yards,171,228
Total Yards,196,425
Fumbles-Lost,1-0,0-0
Turnovers,2,1
Penalties-Yards,10-65,6-45
Third Down Conv.,3-12,13-19
Fourth Down Conv.,1-2,0-0
Time of Possession,20:59,39:01
