#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,ARI 21,9,4:56,65,Missed FG
2,1,4:14,ARI 25,4,2:13,20,Punt
3,1,0:39,ARI 18,3,0:48,7,Punt
4,2,11:13,ARI 25,9,3:10,29,Punt
5,2,5:48,ARI 18,1,0:13,0,Interception
6,2,5:25,ARI 25,7,3:21,17,Punt
7,2,0:41,ARI 25,1,0:08,0,Interception
8,3,10:53,ARI 25,3,1:59,8,Punt
9,3,2:01,LAR 47,6,2:56,9,Punt
10,4,3:46,ARI 25,5,1:15,26,Downs
