Unnamed: 0,MIA,DEN
First Downs,25,29
Rush-Yds-TDs,21-97-2,35-201-1
Cmp-Att-Yd-TD-INT,26-36-228-3-1,28-35-257-4-0
Sacked-Yards,1-12,1-8
Net Pass Yards,216,249
Total Yards,313,450
Fumbles-Lost,3-0,1-1
Turnovers,1,1
Penalties-Yards,6-50,9-98
Third Down Conv.,4-8,9-13
Fourth Down Conv.,1-1,1-1
Time of Possession,25:43,34:17
