Unnamed: 0,OAK,BUF
First Downs,26,34
Rush-Yds-TDs,30-131-3,24-223-2
Cmp-Att-Yd-TD-INT,23-33-323-2-1,28-46-264-3-1
Sacked-Yards,0-0,1-6
Net Pass Yards,323,258
Total Yards,454,481
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,8-85,3-26
Third Down Conv.,8-12,4-11
Fourth Down Conv.,1-1,2-2
Time of Possession,29:13,30:47
