Quarter,Time,Tm,Detail,OAK,BUF
2.0,11:33,Raiders,Michael Bush 1 yard rush (Sebastian Janikowski kick),7,0
,8:08,Raiders,Darren McFadden 5 yard rush (Sebastian Janikowski kick),14,0
,2:22,Bills,Rian Lindell 25 yard field goal,14,3
,1:22,Raiders,Jason Campbell 1 yard rush (Sebastian Janikowski kick),21,3
3.0,13:26,Bills,Fred Jackson 43 yard rush (Rian Lindell kick),21,10
,3:41,Bills,Stevie Johnson 7 yard pass from Ryan Fitzpatrick (Rian Lindell kick),21,17
4.0,14:10,Bills,Fred Jackson 1 yard rush (Rian Lindell kick),21,24
,9:18,Raiders,Darren McFadden 12 yard pass from Jason Campbell (Sebastian Janikowski kick),28,24
,4:48,Bills,Scott Chandler 6 yard pass from Ryan Fitzpatrick (Rian Lindell kick),28,31
,3:41,Raiders,Denarius Moore 50 yard pass from Jason Campbell (Sebastian Janikowski kick),35,31
,0:14,Bills,David Nelson 6 yard pass from Ryan Fitzpatrick (Rian Lindell kick),35,38
