Quarter,Time,Down,ToGo,Location,OAK,BUF,Detail,EPB,EPA
1,2:38,2,6,OAK 47,0,0,Darren McFadden right tackle for 5 yards (tackle by Nick Barnett),1.790,1.750
1,1:57,3,1,BUF 48,0,0,Jason Campbell up the middle for no gain (tackle by Spencer Johnson and Nick Barnett),1.750,0.070
1,1:15,4,1,BUF 48,0,0,Darren McFadden left guard for 4 yards (tackle by Nick Barnett and Jairus Byrd),0.070,2.650
1,0:38,1,10,BUF 44,0,0,Jason Campbell pass incomplete deep right intended for Denarius Moore,2.650,2.110
1,0:31,2,10,BUF 44,0,0,Darren McFadden up the middle for 7 yards (tackle by Andra Davis),2.110,2.350
Quarter,Time,Down,ToGo,Location,OAK,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,BUF 37,0,0,Jason Campbell pass complete short right to Denarius Moore for 20 yards (tackle by Leodis McKelvin),2.350,4.440
2,14:25,1,10,BUF 17,0,0,Darren McFadden up the middle for 4 yards (tackle by Shawne Merriman and Keith Williams),4.440,4.500
2,13:50,2,6,BUF 13,0,0,Darren McFadden left guard for 3 yards (tackle by Shawne Merriman and Nick Barnett),4.500,4.340
2,13:10,3,3,BUF 10,0,0,Jason Campbell pass complete short middle to Chaz Schilens for 9 yards (tackle by Jairus Byrd and Drayton Florence),4.340,6.970
2,12:27,1,1,BUF 1,0,0,Michael Bush left guard for -1 yards (tackle by Nick Barnett and Spencer Johnson),6.970,5.720
2,11:41,2,2,BUF 2,0,0,Jason Campbell pass incomplete short left intended for Brandon Myers,5.720,4.950
2,11:37,3,2,BUF 2,0,0,"Penalty on Kellen Heard: Neutral Zone Infraction, 1 yards (no play)",4.950,5.170
2,11:37,3,1,BUF 1,6,0,"Michael Bush up the middle for 1 yard, touchdown",5.170,7.000
2,,,,BUF 2,7,0,Sebastian Janikowski kicks extra point good,0.000,0.000
2,,,,OAK 35,7,0,"Sebastian Janikowski kicks off 74 yards, touchback",0.000,0.280
2,11:33,1,10,BUF 20,7,0,Fred Jackson left guard for no gain (tackle by John Henderson),0.280,-0.270
2,10:51,2,10,BUF 20,7,0,Ryan Fitzpatrick pass incomplete short left intended for Steve Johnson (defended by Chris Johnson),-0.270,-0.960
2,10:46,3,10,BUF 20,7,0,Ryan Fitzpatrick pass incomplete deep middle intended for Steve Johnson is intercepted by Stanford Routt at BUF-36 and returned for 2 yards (tackle by Steve Johnson),-0.960,-3.310
2,10:39,1,10,BUF 34,7,0,Jason Campbell pass complete deep left to Derek Hagan for 17 yards (tackle by George Wilson),3.310,4.440
2,10:03,1,10,BUF 17,7,0,Jason Campbell pass complete short left to Marcel Reece for 5 yards (tackle by George Wilson),4.440,4.690
2,9:34,2,5,BUF 12,7,0,Darren McFadden left tackle for 6 yards (tackle by Shawne Merriman and Drayton Florence),4.690,5.830
2,8:51,1,6,BUF 6,7,0,Darren McFadden up the middle for 1 yard (tackle by Marcell Dareus and Keith Williams),5.830,5.150
2,8:16,2,5,BUF 5,13,0,"Darren McFadden left tackle for 5 yards, touchdown",5.150,7.000
2,,,,BUF 2,14,0,Sebastian Janikowski kicks extra point good,0.000,0.000
2,,,,OAK 35,14,0,"Sebastian Janikowski kicks off 74 yards, touchback",0.000,0.280
2,8:08,1,10,BUF 20,14,0,Ryan Fitzpatrick pass complete short middle to Roscoe Parrish for 16 yards (tackle by Matt Giordano),0.280,1.330
2,7:31,1,10,BUF 36,14,0,Ryan Fitzpatrick pass complete short left to Steve Johnson for 19 yards (tackle by Chris Johnson and Matt Giordano),1.330,2.590
2,6:48,1,10,OAK 45,14,0,Fred Jackson up the middle for 5 yards (tackle by Matt Shaughnessy and Tommy Kelly),2.590,2.720
2,6:07,2,5,OAK 40,14,0,Ryan Fitzpatrick pass complete short left to Steve Johnson for 8 yards (tackle by Matt Shaughnessy and Chris Johnson),2.720,3.450
2,5:26,1,10,OAK 32,14,0,Fred Jackson up the middle for 2 yards (tackle by Tyvon Branch and Jerome Boyd),3.450,3.170
2,4:43,2,8,OAK 30,14,0,"Ryan Fitzpatrick pass complete short left to Steve Johnson for 6 yards. Penalty on OAK: Defensive 12 On-field, 5 yards (no play)",3.170,3.850
2,4:12,2,3,OAK 25,14,0,Brad Smith left end for 9 yards (tackle by Quentin Groves),3.850,4.510
2,3:45,1,10,OAK 16,14,0,Ryan Fitzpatrick pass incomplete deep middle intended for David Nelson (defended by Rolando McClain),4.510,3.900
2,3:38,2,10,OAK 16,14,0,Fred Jackson right guard for 2 yards (tackle by Jerome Boyd and Tommy Kelly),3.900,3.370
2,3:06,3,8,OAK 14,14,0,Ryan Fitzpatrick pass complete short left to David Nelson for 7 yards (tackle by Rolando McClain and Michael Huff),3.370,3.010
2,2:25,4,1,OAK 7,14,3,Rian Lindell 25 yard field goal good,3.010,3.000
2,,,,BUF 35,14,3,"Rian Lindell kicks off 63 yards, returned by Nick Miller for 16 yards (tackle by Chris White)",0.000,0.040
2,2:16,1,10,OAK 18,14,3,Darren McFadden up the middle for 1 yard (tackle by Keith Williams and Chris Kelsay),0.040,-0.320
2,2:12,,,,14,3,Timeout #1 by Buffalo Bills,0.000,-0.320
2,2:12,2,9,OAK 19,14,3,Jason Campbell pass complete short middle to Darren McFadden for 16 yards (tackle by Jairus Byrd),-0.320,1.270
2,2:00,1,10,OAK 35,14,3,Jason Campbell pass complete deep right to Denarius Moore for 42 yards (tackle by Leodis McKelvin),1.270,4.040
2,1:39,,,,14,3,Timeout #1 by Oakland Raiders,0.000,4.040
2,1:39,1,10,BUF 23,14,3,Michael Bush up the middle for 22 yards (tackle by Jairus Byrd),4.040,6.970
2,1:25,,,,14,3,Timeout #2 by Oakland Raiders,0.000,6.970
2,1:25,1,1,BUF 1,20,3,"Jason Campbell up the middle for 1 yard, touchdown",6.970,7.000
2,,,,BUF 2,21,3,Sebastian Janikowski kicks extra point good,0.000,0.000
2,,,,OAK 35,21,3,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,0.280
2,1:22,1,10,BUF 20,21,3,Ryan Fitzpatrick pass complete short right to Donald Jones for 8 yards (tackle by Stanford Routt),0.280,0.810
2,1:18,2,2,BUF 28,21,3,"Ryan Fitzpatrick pass incomplete deep middle intended for Steve Johnson (defended by Tyvon Branch). Penalty on Tyvon Branch: Unnecessary Roughness, 15 yards (no play)",0.810,1.800
2,1:09,1,10,BUF 43,21,3,Ryan Fitzpatrick pass incomplete short middle intended for Ruvell Martin,1.800,1.250
2,1:05,2,10,BUF 43,21,3,Ryan Fitzpatrick pass complete short middle to David Nelson for 9 yards (tackle by Rolando McClain),1.250,1.750
2,1:05,3,1,OAK 48,21,3,Ryan Fitzpatrick up the middle for 6 yards (tackle by Rolando McClain and Richard Seymour),1.750,2.790
2,0:44,,,,21,3,Timeout #2 by Buffalo Bills,0.000,2.790
2,0:44,1,10,OAK 42,21,3,Ryan Fitzpatrick pass complete short right to Fred Jackson for 12 yards (tackle by Tyvon Branch),2.790,3.580
2,0:23,1,10,OAK 30,21,3,Ryan Fitzpatrick pass complete short right to David Nelson for 9 yards (tackle by Rolando McClain and Tyvon Branch),3.580,4.250
2,0:10,2,1,OAK 21,21,3,Ryan Fitzpatrick spiked the ball,4.250,3.530
2,0:09,3,1,OAK 21,21,3,Ryan Fitzpatrick pass incomplete deep right intended for Steve Johnson,3.530,2.210
2,0:04,4,1,OAK 21,21,3,"Rian Lindell 39 yard field goal no good, blocked by Tyvon Branch",2.210,0.810
Quarter,Time,Down,ToGo,Location,OAK,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,21,3,"Sebastian Janikowski kicks off 74 yards, touchback",0.000,0.280
3,15:00,1,10,BUF 20,21,3,"Ryan Fitzpatrick pass incomplete deep left intended for Steve Johnson. Penalty on Chris Johnson: Defensive Pass Interference, 17 yards (no play)",0.280,1.400
3,14:54,1,10,BUF 37,21,3,Ryan Fitzpatrick right end for 13 yards (tackle by Kamerion Wimbley and Rolando McClain),1.400,2.260
3,14:16,1,10,,21,3,C.J. Spiller right guard for 7 yards (tackle by Jerome Boyd and Matt Giordano),2.260,2.660
3,13:36,2,3,OAK 43,21,9,"Fred Jackson left guard for 43 yards, touchdown",2.660,7.000
3,,,,OAK 2,21,10,Rian Lindell kicks extra point good,0.000,0.000
3,,,,BUF 35,21,10,"Rian Lindell kicks off 69 yards, returned by Nick Miller for 18 yards (tackle by Aaron Williams)",0.000,-0.280
3,13:22,1,10,OAK 14,21,10,Darren McFadden left end for 1 yard (tackle by Nick Barnett),-0.280,-0.640
3,12:50,2,9,OAK 15,21,10,Jason Campbell pass incomplete short right intended for Marcel Reece,-0.640,-1.280
3,12:46,3,9,OAK 15,21,10,Jason Campbell pass complete short left to Derek Hagan for 10 yards (tackle by Aaron Williams),-1.280,0.610
3,12:09,1,10,OAK 25,21,10,Darren McFadden up the middle for 2 yards (tackle by Andra Davis and Dwan Edwards),0.610,0.330
3,11:32,2,8,OAK 27,21,10,Jason Campbell pass complete short left to Marcel Reece for 3 yards (tackle by Marcell Dareus),0.330,0.040
3,10:46,3,5,OAK 30,21,10,Jason Campbell pass complete short middle to Brandon Myers for 8 yards (tackle by Bryan Scott and Nick Barnett),0.040,1.470
3,10:02,1,10,OAK 38,21,10,Jason Campbell pass complete short right to Darren McFadden for 5 yards (tackle by Nick Barnett),1.470,1.600
3,9:20,2,5,OAK 43,21,10,Marcel Reece up the middle for 4 yards (tackle by Jairus Byrd and Nick Barnett),1.600,1.420
3,8:39,3,1,OAK 47,21,10,Jason Campbell pass complete short left to Brandon Myers for 8 yards (tackle by Jairus Byrd),1.420,2.590
3,8:00,1,10,BUF 45,21,10,Darren McFadden up the middle for 3 yards (tackle by George Wilson and Kellen Heard),2.590,2.450
3,7:16,2,7,BUF 42,21,10,"Darren McFadden right guard for -1 yards (tackle by Nick Barnett). Darren McFadden fumbles (forced by Nick Barnett), recovered by Danny Batten at BUF-43",2.450,-1.800
3,7:09,1,10,BUF 43,21,10,C.J. Spiller left tackle for 12 yards (tackle by Tyvon Branch),1.800,2.590
3,6:33,1,10,OAK 45,21,10,Ryan Fitzpatrick pass complete short left to Steve Johnson for 9 yards (tackle by Chris Johnson),2.590,3.260
3,5:48,2,1,OAK 36,21,10,Brad Smith right end for 11 yards (tackle by Matt Giordano),3.260,3.910
3,5:15,1,10,OAK 25,21,10,C.J. Spiller right end for 18 yards (tackle by Richard Seymour),3.910,5.600
3,4:31,1,7,OAK 7,21,10,Fred Jackson right tackle for no gain (tackle by Quentin Groves),5.600,4.760
3,3:52,2,7,OAK 7,21,10,Ryan Fitzpatrick pass incomplete short middle intended for Scott Chandler,4.760,3.810
3,3:46,3,7,OAK 7,21,16,"Ryan Fitzpatrick pass complete short middle to Steve Johnson for 7 yards, touchdown",3.810,7.000
3,,,,OAK 2,21,17,Rian Lindell kicks extra point good,0.000,0.000
3,,,,BUF 35,21,17,"Rian Lindell kicks off 63 yards, returned by Nick Miller for 12 yards (tackle by Chris White)",0.000,-0.280
3,3:37,1,10,OAK 14,21,17,Jason Campbell pass incomplete deep right intended for Denarius Moore,-0.280,-0.750
3,3:28,2,10,OAK 14,21,17,Darren McFadden right tackle for 2 yards (tackle by Marcell Dareus and Spencer Johnson),-0.750,-1.160
3,2:46,3,8,OAK 16,21,17,Jason Campbell pass incomplete short middle intended for Darren McFadden,-1.160,-2.390
3,2:41,4,8,OAK 16,21,17,"Shane Lechler punts 58 yards, returned by C.J. Spiller for 5 yards (tackle by Darryl Blackstock)",-2.390,-1.000
3,2:30,1,10,BUF 31,21,17,Ryan Fitzpatrick pass complete short left to Steve Johnson for 13 yards (tackle by Quentin Groves and Chris Johnson),1.000,1.860
3,1:46,1,10,BUF 44,21,17,Ryan Fitzpatrick pass incomplete deep right intended for David Nelson,1.860,1.320
3,1:41,2,10,BUF 44,21,17,Ryan Fitzpatrick pass complete short right to Steve Johnson for 11 yards (tackle by Stanford Routt),1.320,2.590
3,1:03,1,10,OAK 45,21,17,Fred Jackson left guard for 29 yards (tackle by Matt Giordano),2.590,4.510
3,0:16,1,10,OAK 16,21,17,Ryan Fitzpatrick pass incomplete deep right intended for Steve Johnson (defended by Stanford Routt),4.510,3.900
3,0:12,2,10,OAK 16,21,17,"Ryan Fitzpatrick sacked by Matt Shaughnessy for -5 yards. Penalty on Rolando McClain: Illegal Contact, 5 yards (no play)",3.900,4.840
Quarter,Time,Down,ToGo,Location,OAK,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,OAK 11,21,17,Ryan Fitzpatrick pass complete short left to Scott Chandler for 10 yards (tackle by Chris Johnson and Matt Giordano),4.840,6.970
4,14:15,1,1,OAK 1,21,23,"Fred Jackson up the middle for 1 yard, touchdown. Penalty on OAK: Unsportsmanlike Conduct, 15 yards",6.970,7.000
4,,,,OAK 2,21,24,Rian Lindell kicks extra point good,0.000,0.000
4,,,,,21,24,"Rian Lindell kicks off 50 yards, touchback",0.000,0.280
4,14:10,1,10,OAK 20,21,24,Jason Campbell pass complete short right to Denarius Moore for 10 yards (tackle by Chris Kelsay),0.280,0.940
4,13:40,1,10,OAK 30,21,24,"Darren McFadden right tackle for 4 yards (tackle by Nick Barnett). Penalty on Derek Hagan: Offensive Holding, 10 yards (no play)",0.940,0.280
4,13:15,1,20,OAK 20,21,24,Jason Campbell pass complete deep left to Derek Hagan for 25 yards (tackle by Jairus Byrd),0.280,1.930
4,12:33,1,10,OAK 45,21,24,Darren McFadden right guard for 3 yards (tackle by Jairus Byrd and Nick Barnett),1.930,1.790
4,11:50,2,7,OAK 48,21,24,Jason Campbell pass complete short left to Derek Hagan for 9 yards (tackle by Nick Barnett and Drayton Florence),1.790,2.720
4,11:11,1,10,BUF 43,21,24,Denarius Moore left end for 25 yards (tackle by Jairus Byrd),2.720,4.370
4,10:26,1,10,BUF 18,21,24,Darren McFadden left tackle for 5 yards (tackle by Andra Davis),4.370,4.610
4,10:08,,,,21,24,Timeout #1 by Oakland Raiders,0.000,4.610
4,10:08,2,5,BUF 13,21,24,Michael Bush up the middle for 1 yard (tackle by Keith Williams),4.610,4.030
4,9:23,3,4,BUF 12,27,24,"Jason Campbell pass complete short right to Darren McFadden for 12 yards, touchdown",4.030,7.000
4,,,,BUF 2,28,24,Sebastian Janikowski kicks extra point good,0.000,0.000
4,,,,OAK 35,28,24,"Sebastian Janikowski kicks off 72 yards, touchback",0.000,0.280
4,9:18,1,10,BUF 20,28,24,Ryan Fitzpatrick pass complete short right to David Nelson for 15 yards (tackle by Michael Huff),0.280,1.270
4,8:47,1,10,BUF 35,28,24,C.J. Spiller right tackle for 26 yards (tackle by Tyvon Branch),1.270,2.980
4,8:19,1,10,OAK 39,28,24,Ryan Fitzpatrick pass complete short right to Steve Johnson for 12 yards (tackle by Stanford Routt),2.980,3.780
4,7:35,1,10,OAK 27,28,24,Fred Jackson left tackle for 2 yards (tackle by John Henderson and Lamarr Houston),3.780,3.500
4,6:51,2,8,OAK 25,28,24,Ryan Fitzpatrick pass complete short left to Steve Johnson for 17 yards (tackle by Matt Giordano),3.500,5.370
4,6:23,1,8,OAK 8,28,24,Fred Jackson left guard for no gain (tackle by Richard Seymour),5.370,4.570
4,5:39,2,8,OAK 8,28,24,Ryan Fitzpatrick pass incomplete short right intended for Donald Jones,4.570,3.580
4,5:35,3,8,OAK 8,28,24,"Ryan Fitzpatrick pass incomplete short middle intended for David Nelson. Penalty on Chris Johnson: Defensive Holding, 4 yards (no play)",3.580,6.280
4,5:31,1,4,OAK 4,28,24,Fred Jackson left guard for -2 yards (tackle by Matt Shaughnessy),6.280,4.950
4,4:53,2,6,OAK 6,28,30,"Ryan Fitzpatrick pass complete short left to Scott Chandler for 6 yards, touchdown",4.950,7.000
4,,,,OAK 2,28,31,Rian Lindell kicks extra point good,0.000,0.000
4,,,,BUF 35,28,31,"Rian Lindell kicks off 68 yards, returned by Nick Miller for 15 yards (tackle by Danny Batten)",0.000,-0.350
4,4:44,1,10,OAK 12,28,31,Jason Campbell pass complete short left to Darren McFadden for 13 yards (tackle by Marcell Dareus),-0.350,0.610
4,4:35,1,10,OAK 25,28,31,Jason Campbell pass complete short left to Marcel Reece for 12 yards. Penalty on George Wilson: Illegal Contact (Declined),0.610,1.400
4,4:29,1,10,OAK 37,28,31,Darren McFadden left guard for 6 yards (tackle by Nick Barnett and George Wilson),1.400,1.670
4,3:55,2,4,OAK 43,28,31,Jason Campbell pass complete short left to Darren McFadden for 7 yards (tackle by George Wilson),1.670,2.260
4,3:50,1,10,,34,31,"Jason Campbell pass complete deep middle to Denarius Moore for 50 yards, touchdown",2.260,7.000
4,,,,BUF 2,35,31,Sebastian Janikowski kicks extra point good,0.000,0.000
4,,,,OAK 35,35,31,"Sebastian Janikowski kicks off 73 yards, touchback",0.000,0.280
4,3:41,1,10,BUF 20,35,31,"Ryan Fitzpatrick pass incomplete deep left intended for Steve Johnson. Penalty on Chris Johnson: Defensive Pass Interference, 14 yards (no play)",0.280,1.200
4,3:36,1,10,BUF 34,35,31,Ryan Fitzpatrick pass incomplete short middle intended for Ruvell Martin,1.200,0.660
4,3:32,2,10,BUF 34,35,31,Ryan Fitzpatrick pass complete short right to David Nelson for 9 yards (tackle by Michael Huff),0.660,1.160
4,3:07,3,1,BUF 43,35,31,Ryan Fitzpatrick up the middle for 4 yards (tackle by Kamerion Wimbley and Lamarr Houston),1.160,2.060
4,2:35,1,10,BUF 47,35,31,Ryan Fitzpatrick pass complete short left to David Nelson for 6 yards (tackle by Rolando McClain),2.060,2.330
4,2:01,2,4,OAK 47,35,31,Ryan Fitzpatrick pass complete short left to Donald Jones for 5 yards (tackle by Chimdi Chekwa and Tyvon Branch),2.330,2.790
4,1:53,1,10,OAK 42,35,31,Ryan Fitzpatrick pass complete short left to Fred Jackson for 11 yards (tackle by Lamarr Houston),2.790,3.510
4,1:45,1,10,OAK 31,35,31,Ryan Fitzpatrick pass complete short middle to David Nelson for 7 yards (tackle by Rolando McClain and Michael Huff),3.510,3.910
4,1:10,2,3,OAK 24,35,31,Ryan Fitzpatrick pass incomplete short middle intended for Ruvell Martin (defended by Michael Huff),3.910,3.200
4,1:07,3,3,OAK 24,35,31,Ryan Fitzpatrick pass incomplete short middle intended for Steve Johnson (defended by Rolando McClain),3.200,1.970
4,1:03,,,,35,31,Timeout #1 by Buffalo Bills,0.000,1.970
4,1:03,4,3,OAK 24,35,31,Ryan Fitzpatrick pass complete short middle to Donald Jones for 9 yards (tackle by Chris Johnson),1.970,4.580
4,0:34,1,10,OAK 15,35,31,Ryan Fitzpatrick pass incomplete short right intended for Scott Chandler (defended by Rolando McClain),4.580,3.950
4,0:32,2,10,OAK 15,35,31,Ryan Fitzpatrick pass incomplete short left intended for Donald Jones (defended by Chris Johnson),3.950,3.100
4,0:27,,,,35,31,Timeout #2 by Buffalo Bills,0.000,3.100
4,0:27,3,10,OAK 15,35,31,Ryan Fitzpatrick pass complete short left to David Nelson for 9 yards (tackle by Jerome Boyd),3.100,3.020
,,,,,,,"Replay Assistant challenged the first down ruling, and the play was upheld.",,
4,0:18,,,,35,31,Timeout #3 by Buffalo Bills,0.000,3.020
4,0:18,4,1,OAK 6,35,37,"Ryan Fitzpatrick pass complete short middle to David Nelson for 6 yards, touchdown",3.020,7.000
4,,,,OAK 2,35,38,Rian Lindell kicks extra point good,0.000,0.000
4,,,,BUF 35,35,38,"Rian Lindell kicks off 70 yards, touchback",0.000,0.280
4,0:14,1,10,OAK 20,35,38,Jason Campbell pass complete deep middle to Denarius Moore for 24 yards (tackle by Leodis McKelvin),0.280,1.860
4,0:06,,,,35,38,Timeout #2 by Oakland Raiders,0.000,1.860
4,0:06,1,10,OAK 44,35,38,Jason Campbell pass incomplete short left intended for Derek Hagan,1.860,1.320
4,0:00,2,10,OAK 44,35,38,Jason Campbell pass incomplete deep right intended for Denarius Moore is intercepted by Da'Norris Searcy at BUF-0,1.320,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
