Quarter,Time,Down,ToGo,Location,GNB,ARI,Detail,EPB,EPA
1,8:18,3,8,ARI 39,0,0,"Kyler Murray pass complete deep left to DeAndre Hopkins for 55 yards (tackle by Eric Stokes). Penalty on DeAndre Hopkins: Face Mask (15 Yards), 15 yards (accepted)",,
1,8:07,,,,,,Timeout #1 by Arizona Cardinals,,
1,8:07,1,10,GNB 21,0,0,Kyler Murray pass complete short middle to Rondale Moore for 6 yards (tackle by Darnell Savage and De'Vondre Campbell),,
1,7:39,2,4,GNB 15,0,0,Kyler Murray right tackle for 3 yards (tackle by Krys Barnes),,
1,6:54,3,1,GNB 12,0,0,Kyler Murray left tackle for 1 yard (tackle by Adrian Amos),,
1,6:21,1,10,GNB 11,0,6,"Chase Edmonds up the middle for 11 yards, touchdown",,
1,6:17,,,GNB 15,0,7,Matt Prater kicks extra point good,,
1,6:17,,,ARI 35,0,7,"Matt Prater kicks off 65 yards, touchback.",,
1,6:17,1,10,GNB 25,0,7,Aaron Jones left end for 7 yards (tackle by Jordan Hicks),,
1,5:36,2,3,GNB 32,0,7,AJ Dillon up the middle for 4 yards (tackle by Jordan Hicks and Zach Allen),,
1,4:53,1,10,GNB 36,0,7,Aaron Rodgers pass complete short right to Aaron Jones for 7 yards (tackle by Byron Murphy),,
1,4:13,2,3,GNB 43,0,7,AJ Dillon up the middle for 12 yards (tackle by Budda Baker),,
1,3:40,1,10,ARI 45,0,7,Aaron Rodgers pass incomplete short left intended for Robert Tonyan,,
1,3:36,2,10,ARI 45,0,7,AJ Dillon up the middle for 6 yards (tackle by Byron Murphy and Michael Dogbe),,
1,2:54,3,4,ARI 39,0,7,"Penalty on Markus Golden: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
1,2:19,1,10,ARI 34,0,7,Aaron Rodgers pass complete short left to Juwann Winfree for 12 yards (tackle by Budda Baker),,
1,1:38,1,10,ARI 22,0,7,Aaron Rodgers pass incomplete short right intended for Equanimeous St. Brown (defended by Chandler Jones),,
1,1:33,2,10,ARI 22,0,7,AJ Dillon up the middle for 5 yards (tackle by Jordan Phillips),,
1,0:49,3,5,ARI 17,0,7,Aaron Rodgers pass complete short left to Juwann Winfree for 4 yards (tackle by Byron Murphy),,
Quarter,Time,Down,ToGo,Location,GNB,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,1,ARI 13,0,7,AJ Dillon up the middle for 2 yards (tackle by Jordan Hicks),,
2,14:23,1,10,ARI 11,0,7,AJ Dillon up the middle for 8 yards (tackle by Budda Baker),,
2,13:37,,,,,,Timeout #3 by Green Bay Packers,,
2,13:37,2,2,ARI 3,0,7,Aaron Rodgers pass complete short left to Robert Tonyan for 1 yard (tackle by Budda Baker and Jalen Thompson),,
2,13:00,3,1,ARI 2,6,7,"Aaron Jones up the middle for 2 yards, touchdown",,
2,12:54,,,ARI 15,7,7,Mason Crosby kicks extra point good,,
2,12:54,,,GNB 35,7,7,"Mason Crosby kicks off 65 yards, touchback.",,
2,12:54,1,10,ARI 25,7,7,Rondale Moore left end for -1 yards (tackle by De'Vondre Campbell),,
2,12:28,2,11,ARI 24,7,7,Kyler Murray pass incomplete deep left intended for Antoine Wesley,,
2,12:22,3,11,ARI 24,7,7,Kyler Murray sacked by De'Vondre Campbell for -4 yards,,
2,11:39,4,15,ARI 20,7,7,"Andy Lee punts 62 yards, returned by Amari Rodgers for 7 yards (tackle by Demetrius Harris and Victor Dimukeje). Penalty on Malik Taylor: Illegal Block Above the Waist, 10 yards (accepted)",,
2,11:39,1,10,GNB 15,7,7,Aaron Jones up the middle for 1 yard (tackle by Jalen Thompson and Zach Allen),,
2,10:57,2,9,GNB 16,7,7,Aaron Rodgers pass complete short right to Aaron Jones for 4 yards (tackle by Jalen Thompson and Markus Golden),,
2,10:18,3,5,GNB 20,7,7,Aaron Rodgers pass complete short right to Robert Tonyan for 15 yards (tackle by Isaiah Simmons),,
2,9:38,1,10,GNB 35,7,7,Amari Rodgers left end for 11 yards (tackle by Jalen Thompson and Robert Alford),,
2,8:57,1,10,GNB 46,7,7,AJ Dillon up the middle for 4 yards (tackle by Michael Dogbe),,
2,8:17,2,6,GNB 50,7,7,AJ Dillon up the middle for 1 yard (tackle by Leki Fotu),,
2,7:35,,,,,,Timeout #2 by Green Bay Packers,,
2,7:35,3,5,ARI 49,7,7,Aaron Rodgers pass complete to Aaron Jones for -2 yards (tackle by Dennis Gardeck),,
2,6:52,4,7,GNB 49,7,7,"Corey Bojorquez punts 47 yards downed by Ty Summers GNB challenged the kick touched ruling, and the original play was overturned. Corey Bojorquez punts 48 yards, recovered by Ty Summers at ARI-3",,
2,6:43,1,3,ARI 3,7,7,Aaron Rodgers pass incomplete short right intended for Marcedes Lewis,,
2,6:38,2,3,ARI 3,7,7,Aaron Rodgers pass incomplete short left intended for Juwann Winfree (defended by Byron Murphy),,
2,6:32,3,3,ARI 3,7,7,Aaron Rodgers pass incomplete short left intended for Randall Cobb,,
2,6:28,4,3,ARI 3,10,7,Mason Crosby 21 yard field goal good,,
2,6:24,,,GNB 35,10,7,"Mason Crosby kicks off 70 yards, returned by Rondale Moore for 20 yards (tackle by Malik Taylor and Henry Black)",,
2,6:18,1,10,ARI 15,10,7,James Conner up the middle for 4 yards (tackle by Whitney Mercilus and Adrian Amos),,
2,5:42,2,6,ARI 19,10,7,"Kyler Murray pass incomplete short left intended for Christian Kirk. Penalty on Chandon Sullivan: Defensive Holding, 5 yards (accepted) (no play)",,
2,5:19,1,10,ARI 24,10,7,James Conner up the middle for 5 yards (tackle by Kingsley Keke and Kenny Clark),,
2,4:48,2,5,ARI 29,10,7,Kyler Murray pass incomplete short left intended for A.J. Green (defended by Rasul Douglas),,
2,4:41,3,5,ARI 29,10,7,Kyler Murray pass incomplete short right,,
2,4:37,4,5,ARI 29,10,7,"Andy Lee punts 55 yards, fair catch by Amari Rodgers at GB-16",,
2,4:30,1,10,GNB 16,10,7,AJ Dillon up the middle for 3 yards (tackle by Jalen Thompson and Michael Dogbe),,
2,3:50,2,7,GNB 19,10,7,Aaron Rodgers pass complete short left to Randall Cobb for 7 yards (tackle by Marco Wilson),,
2,3:04,1,10,GNB 26,10,7,AJ Dillon right end for 8 yards (tackle by Jordan Hicks and Devon Kennard),,
2,2:22,2,2,GNB 34,10,7,AJ Dillon up the middle for 6 yards (tackle by Jalen Thompson),,
2,2:00,1,10,GNB 40,10,7,Aaron Jones left tackle for no gain (tackle by Zach Allen),,
2,1:29,2,10,GNB 40,10,7,Aaron Jones up the middle for 10 yards (tackle by Isaiah Simmons),,
2,1:03,1,10,GNB 50,10,7,Aaron Rodgers pass incomplete short left intended for Juwann Winfree,,
2,0:57,2,10,GNB 50,10,7,Aaron Jones up the middle for -2 yards (tackle by Jordan Hicks),,
2,0:12,3,12,GNB 48,10,7,Aaron Rodgers pass incomplete short right intended for Aaron Jones,,
2,0:05,,,,,,Timeout #3 by Green Bay Packers,,
2,0:05,4,12,GNB 48,10,7,Aaron Rodgers pass incomplete deep middle (defended by Jalen Thompson),,
Quarter,Time,Down,ToGo,Location,GNB,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,GNB 35,10,7,"Mason Crosby kicks off 68 yards, returned by Rondale Moore for 28 yards (tackle by Oren Burks). Penalty on Darrell Daniels: Offensive Holding, 10 yards (accepted)",,
3,14:55,1,10,ARI 15,10,7,Chase Edmonds up the middle for 4 yards (tackle by Dean Lowry),,
3,14:30,2,6,ARI 19,10,7,Kyler Murray sacked by Dean Lowry for -10 yards,,
3,14:00,3,16,ARI 9,10,7,Kyler Murray pass short left intended for Rondale Moore is intercepted by Henry Black at ARI-14 and returned for no gain (tackle by Justin Pugh),,
3,13:53,1,10,ARI 14,10,7,Aaron Jones right end for 7 yards (tackle by Jordan Hicks),,
3,13:18,2,3,ARI 7,10,7,Aaron Rodgers pass incomplete short left intended for Amari Rodgers,,
3,13:15,3,3,ARI 7,10,7,AJ Dillon left tackle for no gain (tackle by Markus Golden and Jordan Phillips),,
3,12:28,,,,,,Timeout #1 by Green Bay Packers,,
3,12:28,4,3,ARI 7,10,7,Aaron Rodgers pass complete short left to Equanimeous St. Brown for 5 yards (tackle by Marco Wilson),,
3,11:42,1,2,ARI 2,16,7,"Aaron Rodgers pass complete short right to Randall Cobb for 2 yards, touchdown",,
3,11:37,,,ARI 15,17,7,Mason Crosby kicks extra point good,,
3,11:37,,,GNB 35,17,7,"Penalty on Jordan Phillips: Roughing the Passer, 15 yards (accepted) (no play)",,
3,11:37,1,10,GNB 50,17,7,"Mason Crosby kicks off 43 yards, returned by Demetrius Harris for 12 yards (tackle by Oren Burks)",,
3,11:33,1,10,ARI 19,17,7,Kyler Murray pass complete short right to A.J. Green for 9 yards (tackle by Rasul Douglas),,
3,11:17,2,1,ARI 28,17,7,James Conner up the middle for 2 yards (tackle by Dean Lowry),,
3,10:49,1,10,ARI 30,17,7,Kyler Murray pass complete short middle to Christian Kirk for 8 yards (tackle by De'Vondre Campbell),,
3,10:34,2,2,ARI 38,17,7,Kyler Murray pass complete short right to Christian Kirk for 3 yards (tackle by Rasul Douglas),,
3,10:06,1,10,ARI 41,17,7,Kyler Murray pass incomplete deep right intended for A.J. Green,,
3,9:59,2,10,ARI 41,17,7,Kyler Murray pass complete short right to A.J. Green for 6 yards (tackle by Rasul Douglas),,
3,9:30,3,4,ARI 47,17,7,Kyler Murray pass incomplete short right intended for Chase Edmonds,,
3,9:22,4,4,ARI 47,17,7,Kyler Murray pass complete short left to Antoine Wesley for 7 yards (tackle by Eric Stokes),,
3,8:41,1,10,GNB 46,17,7,"Penalty on Dean Lowry: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
3,8:15,1,5,GNB 41,17,7,Kyler Murray pass complete short right to Chase Edmonds for 8 yards (tackle by Tedarrell Slaton and Adrian Amos),,
3,7:29,1,10,GNB 33,17,7,Kyler Murray pass complete short left to DeAndre Hopkins for 11 yards (tackle by Eric Stokes),,
3,6:58,1,10,GNB 22,17,7,Kyler Murray pass complete short middle to Zach Ertz for 20 yards (tackle by Adrian Amos and Darnell Savage),,
3,6:27,1,2,GNB 2,17,13,"James Conner up the middle for 2 yards, touchdown",,
3,6:22,,,GNB 15,17,14,Matt Prater kicks extra point good,,
3,6:22,,,ARI 35,17,14,"Matt Prater kicks off 69 yards, returned by Kylin Hill for 13 yards (tackle by Jonathan Ward)",,
3,6:19,1,10,GNB 9,17,14,AJ Dillon up the middle for 9 yards (tackle by Budda Baker),,
3,5:33,2,1,GNB 18,17,14,Aaron Rodgers pass incomplete short left,,
3,5:30,3,1,GNB 18,17,14,AJ Dillon up the middle for 4 yards (tackle by Michael Dogbe and Jordan Phillips),,
3,4:50,1,10,GNB 22,17,14,Aaron Jones right tackle for 1 yard (tackle by Michael Dogbe and Jordan Hicks),,
3,4:07,2,9,GNB 23,17,14,Aaron Rodgers pass complete short left to Aaron Jones for 19 yards (tackle by Byron Murphy),,
3,3:26,1,10,GNB 42,17,14,Aaron Jones up the middle for 4 yards (tackle by Markus Golden and Isaiah Simmons),,
3,2:41,2,6,GNB 46,17,14,Aaron Rodgers pass complete deep middle to Robert Tonyan for 33 yards (tackle by Jalen Thompson),,
3,2:07,1,10,ARI 21,17,14,Aaron Rodgers pass complete short right to Josiah Deguara for 8 yards (tackle by Tanner Vallejo and Jordan Hicks),,
3,1:24,2,2,ARI 13,17,14,AJ Dillon up the middle for 2 yards (tackle by Isaiah Simmons and Michael Dogbe),,
3,0:40,1,10,ARI 11,17,14,Aaron Rodgers pass incomplete short middle intended for Aaron Jones,,
3,0:36,2,10,ARI 11,17,14,Aaron Rodgers pass complete to Aaron Jones for 5 yards (tackle by Jordan Hicks),,
Quarter,Time,Down,ToGo,Location,GNB,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,5,ARI 6,23,14,"Aaron Rodgers pass complete short middle to Randall Cobb for 6 yards, touchdown",,
4,14:56,,,ARI 15,24,14,Mason Crosby kicks extra point good,,
4,14:56,,,GNB 35,24,14,"Mason Crosby kicks off 65 yards, touchback.",,
4,14:56,1,10,ARI 25,24,14,"Kyler Murray pass incomplete short right intended for Rondale Moore. Penalty on Rasul Douglas: Defensive Pass Interference, 11 yards (accepted) (no play)",,
4,14:50,1,10,ARI 36,24,14,Chase Edmonds up the middle for 2 yards (tackle by Rashan Gary),,
4,14:24,2,8,ARI 38,24,14,Kyler Murray scrambles right end for 7 yards (tackle by Rasul Douglas),,
4,13:54,3,1,ARI 45,24,14,Chase Edmonds up the middle for 6 yards (tackle by Kenny Clark and De'Vondre Campbell),,
4,13:37,1,10,GNB 49,24,14,Kyler Murray pass incomplete short left intended for Antoine Wesley,,
4,13:29,2,10,GNB 49,24,14,Kyler Murray pass incomplete deep middle intended for Christian Kirk,,
4,13:24,3,10,GNB 49,24,14,Kyler Murray pass complete short right to Chase Edmonds for 9 yards (tackle by Rasul Douglas),,
4,13:17,4,1,GNB 40,24,14,Kyler Murray pass complete short right to Zach Ertz for 9 yards (tackle by Rasul Douglas),,
4,12:48,1,10,GNB 31,24,14,Kyler Murray pass complete short left to Rondale Moore for 9 yards (tackle by Eric Stokes),,
4,12:12,2,1,GNB 22,24,14,Kyler Murray pass complete short right to A.J. Green for 4 yards (tackle by Rasul Douglas),,
4,11:34,1,10,GNB 18,24,14,Kyler Murray pass complete short middle to Zach Ertz for 9 yards (tackle by De'Vondre Campbell and Krys Barnes),,
4,10:51,2,1,GNB 9,24,20,"James Conner up the middle for 9 yards, touchdown",,
4,10:45,,,GNB 15,24,21,Matt Prater kicks extra point good,,
4,10:45,,,ARI 35,24,21,"Matt Prater kicks off 65 yards, touchback.",,
4,10:45,1,10,GNB 25,24,21,Aaron Rodgers sacked by Zach Allen for no gain,,
4,9:56,2,10,GNB 25,24,21,Aaron Rodgers pass complete short right to Aaron Jones for 9 yards (tackle by Jalen Thompson and Byron Murphy),,
4,9:08,3,1,GNB 34,24,21,Aaron Rodgers pass complete short right to Josiah Deguara for 12 yards (tackle by Jordan Hicks),,
4,8:22,1,10,GNB 46,24,21,Aaron Rodgers pass complete short left to Juwann Winfree for 10 yards (tackle by Isaiah Simmons),,
4,7:47,1,10,ARI 44,24,21,AJ Dillon up the middle for 4 yards (tackle by Tanner Vallejo),,
4,7:02,2,6,ARI 40,24,21,Aaron Rodgers pass complete short left to Juwann Winfree for 4 yards. Juwann Winfree fumbles (forced by Marco Wilson),,
4,6:29,,,,,,Timeout #2 by Green Bay Packers,,
4,6:29,3,2,ARI 36,24,21,Aaron Jones up the middle for 8 yards (tackle by Budda Baker and Markus Golden),,
4,5:41,,,,,,Timeout #3 by Green Bay Packers,,
4,5:41,1,10,ARI 28,24,21,Aaron Jones up the middle for 16 yards (tackle by Budda Baker),,
4,4:56,1,10,ARI 12,24,21,"Aaron Rodgers pass complete to Equanimeous St. Brown for 7 yards (tackle by Markus Golden). Penalty on Byron Murphy: Defensive Lowering the head to initiate contact, 2 yards (accepted)",,
4,4:49,1,3,ARI 3,24,21,"Aaron Rodgers pass incomplete short middle intended for Equanimeous St. Brown. Penalty on Marco Wilson: Defensive Pass Interference, 2 yards (accepted) (no play)",,
4,4:46,1,1,ARI 1,24,21,"Aaron Jones up the middle for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Aaron Jones up the middle for no gain (tackle by Jordan Hicks)",,
4,4:25,2,1,ARI 1,24,21,Aaron Jones up the middle for no gain (tackle by Dennis Gardeck and Jordan Hicks),,
4,3:38,3,1,ARI 1,24,21,"Penalty on GNB: Delay of Game, 4 yards (accepted) (no play)",,
4,3:39,3,5,ARI 5,24,21,Aaron Rodgers scrambles up the middle for 4 yards (tackle by Jalen Thompson and Zach Allen),,
4,3:26,,,,,,Timeout #1 by Arizona Cardinals,,
4,3:26,4,1,ARI 1,24,21,Aaron Rodgers pass incomplete short right intended for Randall Cobb (defended by Devon Kennard),,
4,3:23,1,10,ARI 1,24,21,Chase Edmonds up the middle for no gain (tackle by Tyler Lancaster),,
4,2:50,2,10,ARI 1,24,21,Kyler Murray pass incomplete short left intended for Christian Kirk,,
4,2:46,3,10,ARI 1,24,21,Kyler Murray pass complete deep right to A.J. Green for 23 yards (tackle by Henry Black),,
4,2:22,1,10,ARI 24,24,21,Kyler Murray pass complete deep right to Christian Kirk for 29 yards (tackle by Rasul Douglas),,
4,2:00,1,10,GNB 47,24,21,Kyler Murray pass complete short left to Rondale Moore for 9 yards (tackle by Eric Stokes and Chandon Sullivan),,
4,1:26,2,1,GNB 38,24,21,Kyler Murray pass complete short left to Christian Kirk for 6 yards,,
4,1:21,1,10,GNB 32,24,21,"Kyler Murray aborted snap, recovered by Kyler Murray at GB-40 and returned for -8 yards Kyler Murray for no gain",,
4,1:16,,,,,,Timeout #2 by Arizona Cardinals,,
4,1:16,2,18,GNB 40,24,21,Kyler Murray pass complete short left to Chase Edmonds for 22 yards (tackle by Henry Black),,
4,0:49,1,10,GNB 18,24,21,Kyler Murray scrambles right end for 9 yards (tackle by Rasul Douglas),,
4,0:44,2,1,GNB 9,24,21,Kyler Murray right tackle for 1 yard (tackle by Darnell Savage),,
4,0:21,1,8,GNB 8,24,21,Chase Edmonds up the middle for 3 yards (tackle by Krys Barnes),,
4,0:15,,,,,,Timeout #3 by Arizona Cardinals,,
4,0:15,2,5,GNB 5,24,21,Kyler Murray pass short right intended for A.J. Green is intercepted by Rasul Douglas in end zone and returned for no gain,,
4,0:12,1,10,GNB 20,24,21,Aaron Rodgers kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
