Quarter,Time,Tm,Detail,GNB,ARI
1.0,6:17,Cardinals,Chase Edmonds 11 yard rush (Matt Prater kick),0,7
2.0,12:54,Packers,Aaron Jones 2 yard rush (Mason Crosby kick),7,7
,6:24,Packers,Mason Crosby 21 yard field goal,10,7
3.0,11:37,Packers,Randall Cobb 2 yard pass from Aaron Rodgers (Mason Crosby kick),17,7
,6:22,Cardinals,James Conner 2 yard rush (Matt Prater kick),17,14
4.0,14:56,Packers,Randall Cobb 6 yard pass from Aaron Rodgers (Mason Crosby kick),24,14
,10:45,Cardinals,James Conner 9 yard rush (Matt Prater kick),24,21
