Unnamed: 0,GNB,ARI
First Downs,24,22
Rush-Yds-TDs,34-151-1,20-74-3
Cmp-Att-Yd-TD-INT,22-37-184-2-0,22-33-274-0-2
Sacked-Yards,1-0,2-14
Net Pass Yards,184,260
Total Yards,335,334
Fumbles-Lost,2-0,2-1
Turnovers,0,3
Penalties-Yards,7-60,7-59
Third Down Conv.,6-14,4-10
Fourth Down Conv.,2-4,2-2
Time of Possession,37:35,22:25
