Quarter,Time,Tm,Detail,BAL,LAC
1.0,12:43,Ravens,Justin Tucker 24 yard field goal,3,0
2.0,2:50,Ravens,Justin Tucker 35 yard field goal,6,0
,0:40,Chargers,Michael Badgley 38 yard field goal,6,3
3.0,13:18,Chargers,Melvin Gordon 1 yard rush (Michael Badgley kick),6,10
,12:18,Ravens,Mark Andrews 68 yard pass from Lamar Jackson (Justin Tucker kick),13,10
,5:36,Ravens,Justin Tucker 56 yard field goal,16,10
4.0,2:40,Ravens,Tavon Young 62 yard fumble return (run failed),22,10
