Quarter,Time,Down,ToGo,Location,CHI,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Connor Barth kicks off 66 yards, returned by Tyler Ervin for 28 yards (tackle by Chris Prosinski)",0.000,-0.740
1,14:54,1,10,HOU 27,0,0,Lamar Miller middle for 8 yards (tackle by Jerrell Freeman and Harold Jones-Quartey),0.740,1.280
1,14:37,2,2,HOU 35,0,0,Brock Osweiler pass complete short right to C.J. Fiedorowicz for 6 yards (tackle by Harold Jones-Quartey),1.280,1.660
1,13:59,1,10,HOU 41,0,0,Brock Osweiler pass complete short middle to Lamar Miller for 6 yards (tackle by Jerrell Freeman and Eddie Goldman),1.660,1.930
1,13:29,2,4,HOU 47,0,0,Lamar Miller right end for 2 yards (tackle by Leonard Floyd),1.930,1.490
1,12:48,3,2,HOU 49,0,0,Brock Osweiler middle for 15 yards (tackle by Jacoby Glenn),1.490,3.180
1,12:13,1,10,CHI 36,0,0,Lamar Miller left guard for 2 yards (tackle by Leonard Floyd and Harold Jones-Quartey),3.180,2.910
1,11:37,2,8,CHI 34,0,0,Brock Osweiler pass incomplete short left intended for DeAndre Hopkins is intercepted by Tracy Porter at CHI-22 and returned for 3 yards,2.910,-0.610
1,11:29,1,10,CHI 25,0,0,Jeremy Langford middle for 4 yards (tackle by John Simon),0.610,0.600
1,10:49,2,6,CHI 29,0,0,Jay Cutler pass complete short right to Alshon Jeffery for 6 yards (tackle by Benardrick McKinney and Brian Cushing),0.600,1.270
1,10:18,1,10,CHI 35,0,0,Jeremy Langford right end for 2 yards (tackle by John Simon and J.J. Watt),1.270,0.990
1,9:44,2,8,CHI 37,0,0,Jeremy Langford middle for 1 yard (tackle by Jadeveon Clowney),0.990,0.430
1,9:11,3,7,CHI 38,0,0,Jay Cutler pass complete short right to Eddie Royal for 13 yards,0.430,2.320
1,8:36,1,10,HOU 49,0,0,Jay Cutler pass complete deep left to Alshon Jeffery for 29 yards (tackle by Kevin Johnson),2.320,4.240
1,8:13,1,10,HOU 20,0,0,"Jeremy Langford middle for no gain (tackle by Christian Covington). Penalty on Kevin White: False Start, 5 yards (no play)",4.240,3.910
1,7:48,1,15,HOU 25,0,0,"Jay Cutler pass incomplete deep left intended for Alshon Jeffery. Penalty on Kareem Jackson: Defensive Pass Interference, 20 yards (no play)",3.910,6.060
1,7:41,1,5,HOU 5,0,0,Jeremy Langford right guard for 4 yards (tackle by Brian Cushing),6.060,5.910
1,7:05,2,1,HOU 1,6,0,"Jeremy Langford right guard for 1 yard, touchdown",5.910,7.000
1,7:05,,,HOU 1,7,0,Connor Barth kicks extra point good,0.000,0.000
1,7:05,,,CHI 35,7,0,"Connor Barth kicks off 69 yards, returned by Tyler Ervin for 28 yards (tackle by Sherrick McManis)",0.000,-0.540
1,6:51,1,10,HOU 24,7,0,"Lamar Miller left tackle for no gain (tackle by Harold Jones-Quartey). Penalty on Chris Clark: Offensive Holding, 10 yards (no play)",0.540,-0.500
1,6:23,1,20,HOU 14,7,0,Brock Osweiler pass complete short right to Lamar Miller for -6 yards (tackle by Jerrell Freeman),-0.500,-1.950
1,5:45,2,26,HOU 8,7,0,"Penalty on Derek Newton: False Start, 4 yards (no play)",-1.950,-2.240
1,5:26,2,30,HOU 4,7,0,Lamar Miller left guard for 6 yards (tackle by Danny Trevathan),-2.240,-3.060
1,4:57,3,24,HOU 10,7,0,Lamar Miller middle for 12 yards (tackle by Jerrell Freeman),-3.060,-1.900
1,4:30,4,12,HOU 22,7,0,"Shane Lechler punts 49 yards, returned by Eddie Royal for 31 yards (tackle by Shane Lechler)",-1.900,-2.920
1,4:16,1,10,HOU 40,7,0,Jeremy Langford right tackle for 4 yards (tackle by Max Bullough and Benardrick McKinney),2.920,2.910
1,3:45,2,6,HOU 36,7,0,Jay Cutler pass incomplete short right intended for Logan Paulsen,2.910,2.210
1,3:40,3,6,HOU 36,7,0,Jay Cutler pass complete short right to Kevin White for 5 yards (tackle by Kareem Jackson),2.210,1.410
1,2:49,4,1,HOU 31,7,0,"Jay Cutler for no gain. Jay Cutler fumbles, recovered by Jay Cutler at HOU-31",1.410,-1.000
1,2:44,1,10,HOU 31,7,0,Lamar Miller left tackle for 4 yards (tackle by Leonard Floyd and Jerrell Freeman),1.000,1.000
1,2:07,2,6,HOU 35,7,0,Lamar Miller middle for 11 yards (tackle by Harold Jones-Quartey),1.000,1.990
