Unnamed: 0,CHI,HOU
First Downs,14,17
Rush-Yds-TDs,20-73-1,35-129-0
Cmp-Att-Yd-TD-INT,16-29-216-1-1,22-35-231-2-1
Sacked-Yards,5-31,2-16
Net Pass Yards,185,215
Total Yards,258,344
Fumbles-Lost,2-0,1-0
Turnovers,1,1
Penalties-Yards,4-30,6-69
Third Down Conv.,4-13,12-20
Fourth Down Conv.,0-2,0-0
Time of Possession,23:41,36:19
