Quarter,Time,Tm,Detail,CHI,HOU
1.0,6:58,Bears,Jeremy Langford 1 yard rush (Connor Barth kick),7,0
2.0,11:25,Texans,Nick Novak 28 yard field goal,7,3
,3:14,Texans,DeAndre Hopkins 23 yard pass from Brock Osweiler (Nick Novak kick),7,10
,0:07,Bears,Eddie Royal 19 yard pass from Jay Cutler (Connor Barth kick),14,10
3.0,12:17,Texans,Nick Novak 28 yard field goal,14,13
4.0,12:44,Texans,Will Fuller 18 yard pass from Brock Osweiler (Nick Novak kick),14,20
,6:10,Texans,Nick Novak 38 yard field goal,14,23
